applicant_id,employment_id,employment_type,employer_name,duration_of_employment_years,monthly_income_usd,bank_account_number
Ap577095,Em577095,Salaried,"Fitzgerald, Ward and Brown Corp.",8.0,12748.0,91178572.0
Ap171295,Em171295,Self-Employed,"Cole, Haynes and Khan LLC",1.4,6541.0,40554804.0
Ap843974,Em843974,Salaried,Boyer Inc Corp.,29.7,11299.0,19149897.0
Ap987121,Em987121,Salaried,"Martinez, Maynard and Ross Corp.",24.3,29987.0,42190486.0
Ap373255,Em373255,Self-Employed,"Sharp, Cunningham and Jensen LLC",8.6,18934.0,121459129.0
Ap399648,Em399648,Salaried,Fry Ltd Corp.,26.6,7158.0,124647200.0
Ap757162,Em757162,Salaried,Porter Ltd Corp.,1.4,21619.0,126574559.0
Ap108155,Em108155,Hourly,Strickland-Crane Corp.,24.6,18402.0,43425273.0
Ap566872,Em566872,Hourly,"Macdonald, Wright and Mcdonald Corp.",25.8,26985.0,20215710.0
Ap925816,Em925816,Self-Employed,Salinas LLC LLC,9.6,14250.0,57059994.0
Ap474705,Em474705,Salaried,Holmes Inc Corp.,18.9,26142.0,73868428.0
Ap671542,Em671542,Salaried,Gonzales LLC Corp.,11.2,17063.0,94659836.0
Ap908350,Em908350,Salaried,Shepard Ltd Corp.,7.3,5692.0,48654492.0
Ap710269,Em710269,Salaried,Anderson-Taylor Corp.,4.5,9890.0,76968286.0
Ap654594,Em654594,Self-Employed,Garcia and Sons LLC,4.4,19460.0,10397185.0
Ap247718,Em247718,Salaried,Hart and Sons Corp.,15.9,22935.0,72956690.0
Ap408987,Em408987,Self-Employed,Johnson-Stout LLC,16.5,9794.0,38490860.0
Ap745263,Em745263,Salaried,Herman-Elliott Corp.,25.5,18573.0,54635832.0
Ap458745,Em458745,Salaried,"Patrick, Coleman and Daugherty Corp.",22.2,14392.0,124361405.0
Ap207512,Em207512,Salaried,Walker Group Corp.,27.0,13828.0,18799293.0
Ap247443,Em247443,Hourly,Smith-Thomas Corp.,21.1,9383.0,86673118.0
Ap570587,Em570587,Salaried,"Adams, Martin and Shields Corp.",2.2,12785.0,26397988.0
Ap473616,Em473616,Salaried,Barton Inc Corp.,23.7,8423.0,15351320.0
Ap757409,Em757409,Self-Employed,Campbell-Nolan LLC,1.5,4127.0,28635428.0
Ap786976,Em786976,Self-Employed,Lucas-Waters LLC,18.0,24146.0,55402271.0
Ap465871,Em465871,Salaried,Allen and Sons Corp.,20.4,14340.0,100987243.0
Ap475037,Em475037,Salaried,Hill-Lopez Corp.,27.0,11457.0,110487429.0
Ap907364,Em907364,Hourly,Woods-Eaton Corp.,13.3,9808.0,45390597.0
Ap217796,Em217796,Salaried,Huang-Parker Corp.,10.0,28778.0,40197122.0
Ap391999,Em391999,Salaried,George-Norton Corp.,4.4,29209.0,98038835.0
Ap292506,Em292506,Salaried,"Miller, Maddox and Johnson Corp.",11.3,19113.0,11471673.0
Ap798376,Em798376,Salaried,Garcia Group Corp.,10.7,17408.0,12090684.0
Ap369544,Em369544,Salaried,"Miller, Willis and Smith Corp.",5.1,6151.0,65346408.0
Ap480002,Em480002,Salaried,"Steele, Howell and Mullins Corp.",28.8,12167.0,29161506.0
Ap798002,Em798002,Salaried,"Lewis, Pitts and Gray Corp.",26.3,28400.0,88796200.0
Ap639439,Em639439,Salaried,Garcia LLC Corp.,29.3,8800.0,18638066.0
Ap690978,Em690978,Salaried,Brandt Ltd Corp.,7.5,2070.0,128563458.0
Ap628787,Em628787,Hourly,Moses-Lozano Corp.,9.2,7367.0,20102593.0
Ap630583,Em630583,Salaried,"Fernandez, Cooper and Murphy Corp.",11.3,6811.0,86891521.0
Ap488215,Em488215,Self-Employed,Williams Inc LLC,13.8,20324.0,23999059.0
Ap421184,Em421184,Hourly,Anderson-Wilson Corp.,26.9,21730.0,81668500.0
Ap898615,Em898615,Self-Employed,"Taylor, Morgan and Chandler LLC",19.3,17214.0,21054404.0
Ap522515,Em522515,Self-Employed,Pacheco-Peterson LLC,9.5,7907.0,105274511.0
Ap768234,Em768234,Hourly,Holmes-Campbell Corp.,6.3,8586.0,55801296.0
Ap478480,Em478480,Salaried,Bailey-Bailey Corp.,2.3,17478.0,92593046.0
Ap132711,Em132711,Salaried,Lane Ltd Corp.,4.8,13390.0,91082820.0
Ap891971,Em891971,Salaried,Weaver-Maldonado Corp.,19.1,6717.0,126134494.0
Ap601157,Em601157,Salaried,"Wade, Keller and Johnson Corp.",18.0,13903.0,86985657.0
Ap284423,Em284423,Salaried,Wiley LLC Corp.,27.8,13228.0,118852904.0
Ap616349,Em616349,Self-Employed,Fritz Ltd LLC,13.3,8536.0,104530120.0
Ap803714,Em803714,Self-Employed,"Padilla, Carrillo and Holmes LLC",9.5,15076.0,58135574.0
Ap757917,Em757917,Self-Employed,Brown-Singh LLC,11.8,16135.0,82162610.0
Ap924792,Em924792,Salaried,"Lopez, Mcclure and Meyer Corp.",9.1,19118.0,50832613.0
Ap837378,Em837378,Hourly,"Reilly, Adams and Barrett Corp.",7.3,13469.0,68558439.0
Ap233272,Em233272,Self-Employed,"Johnson, Wilson and Shaw LLC",11.8,21983.0,86996248.0
Ap867836,Em867836,Salaried,Clark-Duncan Corp.,4.7,17600.0,28563477.0
Ap802335,Em802335,Hourly,Richardson PLC Corp.,7.8,8878.0,11670584.0
Ap907789,Em907789,Self-Employed,Taylor-Walker LLC,10.1,8036.0,30235463.0
Ap743409,Em743409,Salaried,"Powell, Solis and Mitchell Corp.",4.7,11129.0,22308078.0
Ap177505,Em177505,Salaried,"Weber, Osborn and Lopez Corp.",4.1,13131.0,112757335.0
Ap102869,Em102869,Self-Employed,Roberts-Bowman LLC,10.8,15399.0,41141410.0
Ap881474,Em881474,Salaried,Shaffer Inc Corp.,16.8,13950.0,41173103.0
Ap554351,Em554351,Self-Employed,"Jones, Scott and Sullivan LLC",2.6,14817.0,76638422.0
Ap412252,Em412252,Salaried,Watson-Chandler Corp.,13.3,5621.0,89472060.0
Ap736584,Em736584,Salaried,"Rogers, Schmidt and Mendoza Corp.",2.4,26255.0,102906439.0
Ap718467,Em718467,Self-Employed,Wright PLC LLC,6.0,14942.0,110714639.0
Ap190272,Em190272,Salaried,"Williams, Aguilar and Washington Corp.",16.8,6646.0,14663501.0
Ap138467,Em138467,Salaried,Harper-Glass Corp.,24.2,4983.0,26676201.0
Ap909760,Em909760,Salaried,Fitzpatrick-Li Corp.,14.5,8600.0,92788068.0
Ap977844,Em977844,Salaried,Medina and Sons Corp.,9.3,4956.0,15511021.0
Ap580047,Em580047,Self-Employed,"Duffy, Nunez and Smith LLC",10.2,20317.0,22280497.0
Ap759347,Em759347,Salaried,Wright and Sons Corp.,6.9,18443.0,121320685.0
Ap158871,Em158871,Salaried,"Salas, Brown and Barrett Corp.",5.0,27561.0,101677099.0
Ap228391,Em228391,Hourly,Pearson PLC Corp.,20.8,4379.0,55729608.0
Ap539430,Em539430,Self-Employed,Snyder-Daniel LLC,16.6,8813.0,55850001.0
Ap710704,Em710704,Salaried,Luna and Sons Corp.,4.7,28733.0,43323016.0
Ap956703,Em956703,Salaried,Erickson LLC Corp.,3.1,5024.0,35488422.0
Ap930496,Em930496,Salaried,"Johnson, Smith and Lambert Corp.",26.0,29755.0,128258734.0
Ap356687,Em356687,Salaried,Gonzales Ltd Corp.,27.1,3004.0,26193357.0
Ap825451,Em825451,Self-Employed,Yang Ltd LLC,14.6,21193.0,46455376.0
Ap207450,Em207450,Hourly,Luna-Barnes Corp.,11.8,18802.0,18154168.0
Ap271890,Em271890,Salaried,Brown Inc Corp.,28.6,7747.0,35354831.0
Ap538741,Em538741,Salaried,Hensley-Christian Corp.,23.3,26007.0,17811761.0
Ap381974,Em381974,Salaried,"Villanueva, Simmons and Estrada Corp.",3.3,19116.0,121614634.0
Ap500109,Em500109,Self-Employed,Cook-Baker LLC,7.8,13586.0,59518705.0
Ap216381,Em216381,Salaried,Berry Group Corp.,3.1,19491.0,121633123.0
Ap573125,Em573125,Salaried,Miller-Duncan Corp.,7.7,29126.0,76931378.0
Ap671621,Em671621,Self-Employed,Atkinson Inc LLC,14.3,8630.0,64065874.0
Ap234508,Em234508,Self-Employed,Reyes-Clarke LLC,16.0,21752.0,117574351.0
Ap829650,Em829650,Salaried,Carroll-Campbell Corp.,5.2,10288.0,34309447.0
Ap962645,Em962645,Self-Employed,"Reilly, Dixon and Villa LLC",6.9,24593.0,112640617.0
Ap499111,Em499111,Salaried,Jackson-Lewis Corp.,15.1,28993.0,57823133.0
Ap250810,Em250810,Hourly,Ramirez Group Corp.,0.6,2440.0,100523966.0
Ap392890,Em392890,Salaried,Morgan-Hood Corp.,7.0,20512.0,53988467.0
Ap673665,Em673665,Salaried,Garcia LLC Corp.,11.7,4588.0,21636152.0
Ap940477,Em940477,Self-Employed,Adams-Hall LLC,7.8,14771.0,123240624.0
Ap460032,Em460032,Hourly,Jones LLC Corp.,11.2,3442.0,34955655.0
Ap469599,Em469599,Salaried,"Wood, Green and Salazar Corp.",14.7,23658.0,64141811.0
Ap760960,Em760960,Salaried,Hines and Sons Corp.,3.4,8796.0,113056608.0
Ap850020,Em850020,Salaried,"Sanchez, Bowman and Ray Corp.",6.2,28963.0,61491548.0
Ap979611,Em979611,Salaried,Garcia-Williams Corp.,4.3,16176.0,37266312.0
Ap271836,Em271836,Salaried,Perez LLC Corp.,15.1,21291.0,83763267.0
Ap829903,Em829903,Salaried,Carter Ltd Corp.,15.6,18966.0,44998437.0
Ap145714,Em145714,Hourly,Nash-Lewis Corp.,11.1,28420.0,77241290.0
Ap727234,Em727234,Salaried,"Smith, Mitchell and Spencer Corp.",7.3,5155.0,70801640.0
Ap996048,Em996048,Salaried,"Harvey, Nelson and Meyer Corp.",27.5,13636.0,71463935.0
Ap730271,Em730271,Salaried,Hunter Inc Corp.,1.9,4134.0,12905931.0
Ap566960,Em566960,Salaried,"Johnson, Velasquez and Moore Corp.",22.7,26760.0,98733664.0
Ap811851,Em811851,Salaried,Walker-Obrien Corp.,23.6,4816.0,16247255.0
Ap224123,Em224123,Salaried,Brown-Blake Corp.,6.0,23353.0,103415796.0
Ap405628,Em405628,Hourly,Allison-Williams Corp.,11.2,26828.0,123124782.0
Ap182989,Em182989,Self-Employed,Castillo-Pope LLC,18.2,21819.0,100335727.0
Ap398356,Em398356,Salaried,Davis-Patterson Corp.,1.4,25234.0,93462587.0
Ap929957,Em929957,Salaried,"Gallegos, Moore and Bell Corp.",20.3,27422.0,111347238.0
Ap278274,Em278274,Self-Employed,"Johnson, Banks and Wood LLC",11.2,4500.0,40099301.0
Ap787995,Em787995,Salaried,Obrien PLC Corp.,10.3,22080.0,53618148.0
Ap425352,Em425352,Hourly,"Charles, Middleton and Clark Corp.",1.3,9017.0,64449209.0
Ap920260,Em920260,Salaried,Smith-Robinson Corp.,19.8,18815.0,78078226.0
Ap511927,Em511927,Salaried,"Ward, Arnold and Lopez Corp.",3.2,19008.0,60393744.0
Ap889852,Em889852,Hourly,Powers Ltd Corp.,20.3,9056.0,128775495.0
Ap983184,Em983184,Self-Employed,Fleming Ltd LLC,13.6,11856.0,53756822.0
Ap231373,Em231373,Salaried,Schmidt-Ibarra Corp.,16.0,14597.0,24223326.0
Ap538452,Em538452,Salaried,"Villarreal, Thomas and Bullock Corp.",19.7,23408.0,73981826.0
Ap215294,Em215294,Salaried,Parker-Fuller Corp.,14.5,7955.0,108140927.0
Ap559451,Em559451,Salaried,Padilla-Hartman Corp.,23.8,11484.0,43616998.0
Ap748307,Em748307,Salaried,Chan-Valencia Corp.,22.2,10499.0,23423457.0
Ap165726,Em165726,Self-Employed,Reeves and Sons LLC,5.2,18546.0,15528014.0
Ap241564,Em241564,Salaried,"Carter, Parker and Schmitt Corp.",19.3,2438.0,57093934.0
Ap477812,Em477812,Hourly,Boyd-Parker Corp.,21.1,17600.0,66546582.0
Ap368246,Em368246,Salaried,"Miller, Davis and Roberts Corp.",2.7,13978.0,76751794.0
Ap805696,Em805696,Salaried,Valencia Ltd Corp.,9.9,19447.0,111301779.0
Ap218015,Em218015,Hourly,"Young, Sanchez and Lamb Corp.",7.7,2258.0,77592318.0
Ap840674,Em840674,Salaried,Welch-Nash Corp.,9.4,22020.0,28192505.0
Ap354079,Em354079,Self-Employed,"Palmer, Flores and Wagner LLC",1.3,14871.0,46276432.0
Ap650929,Em650929,Self-Employed,Jones and Sons LLC,14.5,8758.0,86060365.0
Ap789944,Em789944,Self-Employed,"Jackson, Jones and Thomas LLC",13.7,22274.0,93780007.0
Ap788105,Em788105,Self-Employed,"Horton, Rice and James LLC",10.7,12333.0,79856586.0
Ap613758,Em613758,Salaried,"Carson, Cunningham and Mitchell Corp.",7.5,19176.0,24440905.0
Ap465890,Em465890,Salaried,"Taylor, Smith and Lopez Corp.",17.7,24940.0,129259635.0
Ap545101,Em545101,Salaried,Smith-Woods Corp.,27.2,2591.0,39859484.0
Ap136631,Em136631,Salaried,Garcia-Young Corp.,27.9,7052.0,121005502.0
Ap866577,Em866577,Salaried,Esparza and Sons Corp.,8.7,23748.0,122545016.0
Ap172991,Em172991,Salaried,Dunn Inc Corp.,27.4,2647.0,20169293.0
Ap104014,Em104014,Salaried,"Fisher, Coleman and Anderson Corp.",20.5,14627.0,123830445.0
Ap373237,Em373237,Self-Employed,Nichols-Pratt LLC,14.5,23916.0,102848005.0
Ap118070,Em118070,Salaried,Pierce-Alvarez Corp.,21.3,10628.0,102225974.0
Ap922209,Em922209,Hourly,Ramirez-Jones Corp.,27.8,4698.0,48940355.0
Ap156958,Em156958,Self-Employed,Gonzalez LLC LLC,6.3,7167.0,66731889.0
Ap182074,Em182074,Salaried,"Parrish, Johnson and Bishop Corp.",18.0,23155.0,75147671.0
Ap635017,Em635017,Salaried,Lee-Cook Corp.,26.8,3971.0,30840450.0
Ap855073,Em855073,Salaried,"Barry, Woodard and Carlson Corp.",19.4,18445.0,56019359.0
Ap276089,Em276089,Salaried,"Fuller, Conway and Bennett Corp.",16.9,28935.0,58880379.0
Ap297392,Em297392,Salaried,Smith Group Corp.,19.0,7936.0,67812299.0
Ap258823,Em258823,Salaried,"Briggs, Hensley and Roberts Corp.",24.0,8784.0,99971357.0
Ap730152,Em730152,Salaried,Montgomery-Krueger Corp.,20.6,11604.0,76445835.0
Ap493002,Em493002,Salaried,"Miller, Henry and Downs Corp.",26.2,20841.0,120333440.0
Ap833429,Em833429,Salaried,Smith-George Corp.,29.3,6198.0,59081685.0
Ap598863,Em598863,Salaried,Reed-Hall Corp.,27.5,18381.0,69736111.0
Ap467654,Em467654,Salaried,Mitchell-Conway Corp.,20.4,2164.0,81406568.0
Ap679036,Em679036,Salaried,"Williams, Hays and Hernandez Corp.",20.0,25905.0,112000736.0
Ap630089,Em630089,Salaried,Williams-Williams Corp.,24.6,17438.0,28706959.0
Ap250262,Em250262,Hourly,"Fisher, Camacho and Fry Corp.",6.2,26746.0,90204269.0
Ap542905,Em542905,Salaried,White and Sons Corp.,14.0,19177.0,69810079.0
Ap335362,Em335362,Salaried,Duran Ltd Corp.,16.2,3149.0,27294161.0
Ap544209,Em544209,Hourly,Weber and Sons Corp.,1.6,26630.0,58199808.0
Ap653880,Em653880,Salaried,"Malone, Barker and Bell Corp.",15.2,22024.0,111920053.0
Ap897079,Em897079,Salaried,"Martin, Dillon and Jones Corp.",21.6,2680.0,17282442.0
Ap764076,Em764076,Salaried,Petty-Powell Corp.,24.3,6083.0,77916693.0
Ap319963,Em319963,Salaried,"Phillips, Wright and Griffith Corp.",26.9,17683.0,30976353.0
Ap580761,Em580761,Salaried,"Allen, Willis and Arnold Corp.",18.6,14646.0,95820004.0
Ap348710,Em348710,Self-Employed,"Mitchell, Trevino and Evans LLC",3.5,18350.0,86096711.0
Ap320984,Em320984,Salaried,"Clark, Brown and House Corp.",7.6,5907.0,11470975.0
Ap997059,Em997059,Salaried,Cortez LLC Corp.,25.6,29890.0,36597037.0
Ap956748,Em956748,Salaried,Patel PLC Corp.,14.7,8453.0,117702372.0
Ap882355,Em882355,Salaried,Baldwin-Lane Corp.,12.0,11383.0,113980020.0
Ap364512,Em364512,Self-Employed,"Solis, Mcdaniel and Lewis LLC",11.4,18477.0,23904769.0
Ap701863,Em701863,Hourly,Mendoza-Booth Corp.,10.5,24496.0,37249805.0
Ap368799,Em368799,Salaried,Hall-Mcconnell Corp.,3.0,17155.0,119482580.0
Ap337549,Em337549,Salaried,Vance Inc Corp.,13.3,27534.0,65693931.0
Ap694319,Em694319,Self-Employed,Smith-Thomas LLC,2.6,22179.0,127830519.0
Ap584299,Em584299,Salaried,Baker-Lucas Corp.,6.4,6985.0,97584128.0
Ap712210,Em712210,Salaried,Terry LLC Corp.,7.3,14065.0,107165864.0
Ap548982,Em548982,Salaried,Davis-Gonzales Corp.,5.6,27438.0,63992964.0
Ap224046,Em224046,Hourly,Montes Inc Corp.,1.9,8128.0,38539161.0
Ap506619,Em506619,Salaried,Flores Ltd Corp.,7.2,14857.0,85111493.0
Ap132097,Em132097,Salaried,Jones Ltd Corp.,25.9,15281.0,71096700.0
Ap766326,Em766326,Self-Employed,Olsen-Frederick LLC,12.2,8287.0,89917347.0
Ap749150,Em749150,Self-Employed,Thompson Ltd LLC,1.5,10826.0,72571910.0
Ap330229,Em330229,Salaried,West Inc Corp.,11.2,5354.0,104320136.0
Ap218834,Em218834,Salaried,"Moss, Gilmore and Clark Corp.",29.0,2526.0,70838257.0
Ap193848,Em193848,Salaried,Ashley and Sons Corp.,5.9,26720.0,97119467.0
Ap152921,Em152921,Self-Employed,Anderson and Sons LLC,6.5,10470.0,84542445.0
Ap805086,Em805086,Salaried,Thomas and Sons Corp.,13.8,4357.0,28116442.0
Ap750429,Em750429,Salaried,Blake PLC Corp.,22.3,8238.0,117824991.0
Ap805660,Em805660,Self-Employed,Jones LLC LLC,13.3,4416.0,44281238.0
Ap384821,Em384821,Salaried,Mckenzie PLC Corp.,3.7,23028.0,14056613.0
Ap155609,Em155609,Salaried,"Mcdaniel, French and Rivera Corp.",9.4,24593.0,111381184.0
Ap327897,Em327897,Salaried,Guerrero PLC Corp.,22.2,8815.0,99800729.0
Ap131024,Em131024,Salaried,"Garcia, Hutchinson and Savage Corp.",8.3,25883.0,116672160.0
Ap170313,Em170313,Salaried,Alvarez-Baker Corp.,4.6,12055.0,68273701.0
Ap489957,Em489957,Hourly,Castillo-Castaneda Corp.,23.2,8952.0,24778237.0
Ap284078,Em284078,Salaried,Russell Inc Corp.,25.6,23576.0,39615178.0
Ap457429,Em457429,Salaried,"Lee, Elliott and Meadows Corp.",22.0,19282.0,17057004.0
Ap561243,Em561243,Self-Employed,Hurley PLC LLC,14.5,3882.0,13028600.0
Ap213632,Em213632,Salaried,"Fox, Williams and Orozco Corp.",19.6,25250.0,84737690.0
Ap351451,Em351451,Self-Employed,Walters-Lopez LLC,9.5,4360.0,68116350.0
Ap103051,Em103051,Salaried,Thompson-Diaz Corp.,21.9,28736.0,115302305.0
Ap804107,Em804107,Self-Employed,Clark Inc LLC,17.5,20798.0,29698215.0
Ap476836,Em476836,Salaried,Callahan-Smith Corp.,25.9,19900.0,61269136.0
Ap711523,Em711523,Salaried,Richmond Group Corp.,14.0,22127.0,12992520.0
Ap821772,Em821772,Salaried,Michael-Crawford Corp.,26.1,19555.0,18038705.0
Ap289407,Em289407,Hourly,"Watson, Freeman and Henson Corp.",9.7,24413.0,11810218.0
Ap549395,Em549395,Salaried,"Parker, Carter and Anderson Corp.",14.3,12487.0,44571508.0
Ap562894,Em562894,Salaried,"Jones, Herring and Franklin Corp.",20.6,25107.0,96707948.0
Ap311810,Em311810,Hourly,Williams-Franklin Corp.,8.8,4742.0,19572260.0
Ap827975,Em827975,Salaried,Gibson-Cook Corp.,1.3,5465.0,18841992.0
Ap173523,Em173523,Salaried,Bennett Group Corp.,22.6,21180.0,129903114.0
Ap860463,Em860463,Self-Employed,"Williams, Flores and Phelps LLC",2.6,21095.0,15683373.0
Ap194476,Em194476,Salaried,Jimenez Group Corp.,15.0,22109.0,88634016.0
Ap333841,Em333841,Salaried,"Sullivan, Kennedy and Alvarado Corp.",19.8,11821.0,50518568.0
Ap903451,Em903451,Salaried,Lane-Franklin Corp.,1.2,18423.0,50986433.0
Ap970045,Em970045,Self-Employed,Hurley and Sons LLC,4.0,15877.0,96981722.0
Ap322866,Em322866,Salaried,Friedman-Lucas Corp.,17.6,11738.0,43730638.0
Ap186672,Em186672,Salaried,"Pena, Wright and Hicks Corp.",9.4,11249.0,58188194.0
Ap698135,Em698135,Self-Employed,Willis Inc LLC,6.9,9028.0,29490785.0
Ap444894,Em444894,Salaried,Anderson-Thompson Corp.,23.8,8097.0,22335601.0
Ap834994,Em834994,Salaried,Pratt-Murphy Corp.,6.3,19319.0,96522725.0
Ap128251,Em128251,Salaried,"Davis, Campbell and Joyce Corp.",16.1,25278.0,71038166.0
Ap727769,Em727769,Self-Employed,Sutton LLC LLC,2.2,6256.0,18999459.0
Ap474710,Em474710,Hourly,Hall LLC Corp.,19.5,21286.0,45655533.0
Ap650233,Em650233,Salaried,Peterson-Todd Corp.,9.9,18651.0,95493570.0
Ap977284,Em977284,Salaried,Webster-Brown Corp.,17.6,13249.0,25656332.0
Ap132217,Em132217,Self-Employed,Gutierrez-Crawford LLC,3.2,11897.0,118941129.0
Ap108308,Em108308,Salaried,Sims and Sons Corp.,10.0,4256.0,119939431.0
Ap368093,Em368093,Salaried,Duarte LLC Corp.,21.4,4238.0,84135140.0
Ap283062,Em283062,Hourly,"Alexander, Spears and Booker Corp.",14.8,14262.0,58289394.0
Ap494366,Em494366,Salaried,Gibson Inc Corp.,16.5,19383.0,94891144.0
Ap844840,Em844840,Salaried,"Wagner, Willis and Bird Corp.",18.7,26417.0,34734834.0
Ap200235,Em200235,Salaried,"Moore, May and James Corp.",15.1,10758.0,90068023.0
Ap174740,Em174740,Salaried,Nelson-Cowan Corp.,9.1,16975.0,89263033.0
Ap478496,Em478496,Self-Employed,Hart PLC LLC,7.9,15525.0,111330300.0
Ap953049,Em953049,Hourly,Hughes Ltd Corp.,20.2,29469.0,118064624.0
Ap850201,Em850201,Salaried,"Hancock, Shields and Holt Corp.",21.5,14345.0,24804619.0
Ap903328,Em903328,Salaried,Ellis-Harris Corp.,1.1,6532.0,80346098.0
Ap277247,Em277247,Salaried,Salinas and Sons Corp.,1.5,22524.0,30574849.0
Ap763165,Em763165,Self-Employed,Murray-Bullock LLC,19.9,21873.0,73841254.0
Ap629525,Em629525,Salaried,White Ltd Corp.,18.4,19538.0,12156599.0
Ap120056,Em120056,Hourly,Sharp and Sons Corp.,26.2,13574.0,83759572.0
Ap276615,Em276615,Salaried,Davis Ltd Corp.,6.3,25395.0,72653618.0
Ap287628,Em287628,Salaried,"Weber, Boyer and Key Corp.",4.9,12669.0,125028747.0
Ap738836,Em738836,Salaried,Leblanc and Sons Corp.,6.3,2175.0,72261327.0
Ap473632,Em473632,Hourly,"Melton, Shepherd and Peters Corp.",27.7,25402.0,118695323.0
Ap234415,Em234415,Salaried,"Brown, Sloan and Ramos Corp.",26.8,22346.0,59856975.0
Ap506716,Em506716,Hourly,Robinson-Smith Corp.,23.8,3305.0,42714312.0
Ap546438,Em546438,Salaried,Bailey Group Corp.,9.8,29185.0,115093452.0
Ap653663,Em653663,Salaried,"Combs, Rice and Ramos Corp.",6.6,11018.0,72626797.0
Ap765022,Em765022,Salaried,Arroyo-Cook Corp.,23.1,11998.0,51499233.0
Ap641252,Em641252,Salaried,Gonzalez PLC Corp.,22.0,14792.0,63502642.0
Ap737717,Em737717,Salaried,Hart-Andrews Corp.,6.3,17503.0,67901032.0
Ap352764,Em352764,Salaried,Moss-Oconnor Corp.,14.7,17331.0,33155414.0
Ap814998,Em814998,Salaried,Carter LLC Corp.,7.9,14316.0,46475110.0
Ap566882,Em566882,Salaried,Moran and Sons Corp.,8.1,12029.0,67054523.0
Ap840427,Em840427,Salaried,"Brown, Myers and Rowland Corp.",19.6,6994.0,66541998.0
Ap612153,Em612153,Salaried,Adams-Anderson Corp.,15.6,10485.0,35272609.0
Ap167215,Em167215,Self-Employed,Burgess LLC LLC,15.8,24676.0,10702958.0
Ap955474,Em955474,Self-Employed,"Mcdonald, Stokes and Thornton LLC",7.9,14788.0,55100159.0
Ap244356,Em244356,Salaried,"Lopez, Baker and Ware Corp.",3.1,14990.0,102020328.0
Ap303861,Em303861,Self-Employed,Everett-Miller LLC,14.3,6180.0,83341566.0
Ap455612,Em455612,Salaried,Martinez-Roy Corp.,16.9,13484.0,20034111.0
Ap554605,Em554605,Salaried,Wilson-Turner Corp.,14.4,2215.0,13525284.0
Ap109435,Em109435,Self-Employed,"Reed, Dickson and Ramos LLC",19.7,12552.0,39268282.0
Ap547556,Em547556,Salaried,Snyder Inc Corp.,22.5,26335.0,83665792.0
Ap799438,Em799438,Salaried,Rodriguez-Perry Corp.,12.0,3229.0,121926513.0
Ap965264,Em965264,Salaried,"King, Santos and French Corp.",5.3,25208.0,41600414.0
Ap675581,Em675581,Salaried,"Morris, Lozano and Elliott Corp.",5.4,4837.0,50702604.0
Ap178781,Em178781,Self-Employed,Smith-Barnes LLC,5.7,14258.0,65502624.0
Ap291475,Em291475,Hourly,"Payne, Dudley and Jenkins Corp.",27.7,14531.0,69131680.0
Ap260196,Em260196,Salaried,Brown-Compton Corp.,24.5,27431.0,97049236.0
Ap326507,Em326507,Hourly,Holland-Lane Corp.,7.6,15775.0,88223812.0
Ap406063,Em406063,Salaried,Castillo-Mccall Corp.,8.2,25953.0,13459240.0
Ap864121,Em864121,Salaried,Walker-Richardson Corp.,20.4,25279.0,53927473.0
Ap876665,Em876665,Salaried,Rodriguez and Sons Corp.,21.6,3892.0,47282962.0
Ap790607,Em790607,Salaried,Arnold Group Corp.,14.4,10005.0,70262205.0
Ap221172,Em221172,Salaried,"Stanley, Woods and Nguyen Corp.",21.7,17338.0,116337515.0
Ap456902,Em456902,Salaried,Rose-Collins Corp.,26.2,3515.0,86934132.0
Ap584963,Em584963,Salaried,Acosta-Mitchell Corp.,8.3,3927.0,25254624.0
Ap555968,Em555968,Self-Employed,Smith-Diaz LLC,6.8,20753.0,50172519.0
Ap418717,Em418717,Salaried,Roberts Ltd Corp.,25.2,3258.0,95347273.0
Ap159101,Em159101,Salaried,"Rogers, Alvarez and Mitchell Corp.",6.1,22577.0,23570407.0
Ap595972,Em595972,Salaried,"Simmons, Brown and Figueroa Corp.",14.0,22661.0,122634804.0
Ap388790,Em388790,Salaried,Velazquez Ltd Corp.,6.6,4084.0,104710720.0
Ap990617,Em990617,Salaried,"Warren, Patel and Woodard Corp.",29.4,4027.0,39023508.0
Ap647337,Em647337,Self-Employed,"Anderson, Morris and Scott LLC",2.5,20193.0,87457362.0
Ap834965,Em834965,Self-Employed,Delgado Inc LLC,12.4,6663.0,64909930.0
Ap460260,Em460260,Self-Employed,Hays Ltd LLC,4.3,13464.0,21848788.0
Ap983811,Em983811,Salaried,"Kim, Greene and Mendoza Corp.",14.7,19887.0,118449993.0
Ap692673,Em692673,Self-Employed,"Scott, Acevedo and Ellis LLC",8.8,11071.0,129377368.0
Ap750419,Em750419,Self-Employed,"Phillips, Martinez and Chapman LLC",8.6,23907.0,64072090.0
Ap533374,Em533374,Salaried,"Carter, Barnes and Levy Corp.",13.0,5424.0,27407039.0
Ap820777,Em820777,Salaried,"King, Snyder and Jones Corp.",22.4,21499.0,129159285.0
Ap647577,Em647577,Self-Employed,Galvan Inc LLC,18.2,13759.0,91996576.0
Ap472370,Em472370,Self-Employed,Santiago Group LLC,10.1,3425.0,129294674.0
Ap987225,Em987225,Self-Employed,"Gregory, Sanchez and Hays LLC",1.1,8988.0,80693602.0
