applicant_id,applicant_ssn,applicant_full_name,applicant_date_of_birth,applicant_gender,applicant_marital_status,applicant_level_of_education
Ap475037,886-43-2123,Paula Hanson,1998-11-01,Male,Widowed,Doctorate
Ap907364,567-78-0811,Jennifer Rivas,1989-08-01,Male,Widowed,Associate's Degree
Ap217796,511-91-7004,Dr. Adam Thompson,1972-06-09,Male,Divorced,Doctorate
Ap391999,368-15-3780,Eric Grimes,1956-01-02,Other,Separated,Associate's Degree
Ap292506,605-09-4018,Craig Lucas,1997-11-05,Male,Single,Some College
Ap798376,257-44-0414,Janet Owens,1952-05-29,Other,Divorced,Master's Degree
Ap369544,370-11-2278,Sara Wolfe,1998-04-23,Other,Single,Bachelor's Degree
Ap480002,790-78-9050,Erica Martin,2005-12-17,Other,Divorced,Bachelor's Degree
Ap798002,842-39-7656,Ashley Dean,1998-05-23,Female,Married,Associate's Degree
Ap639439,498-75-6527,Greg Jimenez,1959-10-01,Other,Separated,Master's Degree
Ap690978,551-74-6564,Scott Rivera,1987-09-23,Female,Married,Master's Degree
Ap628787,329-35-4867,Steven Anderson,2003-09-21,Other,Widowed,High School Diploma
Ap630583,432-35-3188,David Smith,1970-07-21,Female,Widowed,Bachelor's Degree
Ap488215,619-19-8867,Ryan Kim,1959-09-26,Other,Married,Some College
Ap421184,794-64-5403,David Walker,2006-01-07,Female,Separated,Bachelor's Degree
Ap898615,238-89-2204,Anthony Young,1982-11-16,Male,Widowed,Doctorate
Ap522515,298-79-4306,Amanda Knight,1984-09-09,Female,Widowed,Master's Degree
Ap768234,325-93-3555,Randall Kidd,2004-07-17,Female,Single,Bachelor's Degree
Ap478480,706-48-9824,Dillon Wilson,1991-03-21,Female,Divorced,Some College
Ap132711,108-02-9169,Kim Garcia,1954-04-18,Male,Separated,Doctorate
Ap891971,200-80-7536,Larry Farrell,1972-08-16,Other,Married,Associate's Degree
Ap601157,766-61-8797,Louis Myers,2004-03-28,Other,Married,Doctorate
Ap284423,469-91-6112,Stephanie Rodriguez,2002-03-03,Other,Widowed,Associate's Degree
Ap616349,698-57-7198,John Chavez,1988-12-04,Male,Separated,High School Diploma
Ap803714,669-20-1490,Robert Fisher,1958-12-09,Other,Married,Some College
Ap757917,446-73-9008,Billy Jones,1950-09-28,Male,Separated,Bachelor's Degree
Ap924792,571-21-9377,Katherine Ford,2006-09-29,Female,Divorced,Doctorate
Ap837378,148-59-9094,Steven Berger Jr.,1959-11-10,Male,Separated,High School Diploma
Ap233272,242-01-5550,Nicole Harrington,1953-09-19,Male,Separated,Some College
Ap867836,157-96-4396,Nicole Harrison,1973-11-16,Male,Married,High School Diploma
Ap802335,027-94-9688,Troy Fisher,1958-01-03,Female,Single,Doctorate
Ap907789,536-37-7632,Michael Wood,1998-06-24,Male,Single,Associate's Degree
Ap743409,309-88-1473,Jeffrey Day,1955-04-26,Other,Divorced,Doctorate
Ap177505,093-08-9214,Derrick Hernandez,1959-04-24,Female,Widowed,Master's Degree
Ap102869,118-67-6384,Elizabeth Townsend,1999-05-02,Male,Divorced,High School Diploma
Ap881474,230-54-9252,Melissa Herrera,1974-06-19,Female,Widowed,Some College
Ap554351,463-12-3170,Melvin Martinez,1974-01-31,Male,Separated,Master's Degree
Ap412252,350-23-8379,Anthony Cox,1949-07-12,Male,Separated,Master's Degree
Ap736584,096-77-4453,Anthony Taylor,2000-03-26,Male,Divorced,Associate's Degree
Ap718467,889-87-3901,Randy Morgan,1965-09-22,Male,Single,High School Diploma
Ap190272,652-81-9258,Grace Carr,1978-02-14,Female,Separated,Associate's Degree
Ap138467,224-28-3713,Miguel Romero,1949-07-10,Female,Separated,Some College
Ap909760,567-25-9156,Cheryl Newman,1976-06-17,Female,Widowed,Some College
Ap977844,543-75-6148,Timothy Quinn,1969-04-22,Female,Separated,Doctorate
Ap580047,721-20-4165,Susan Thompson,1998-06-19,Other,Widowed,Bachelor's Degree
Ap759347,388-24-5519,Dwayne Richardson,1951-07-10,Male,Separated,Associate's Degree
Ap158871,454-59-5736,Lindsay Love,1978-02-25,Female,Divorced,Master's Degree
Ap228391,562-46-1418,Oscar Garcia,1951-09-13,Other,Divorced,Doctorate
Ap539430,298-28-0312,Dr. Stephanie Conway,1987-02-13,Male,Married,Associate's Degree
Ap710704,685-58-4746,Ralph Jacobs,2001-05-14,Female,Married,High School Diploma
Ap956703,597-24-2809,Christine Santiago,1968-03-30,Other,Widowed,Doctorate
Ap930496,016-50-9160,Shawn Hall,1977-06-08,Other,Widowed,Some College
Ap356687,368-55-5122,Jason Vance,1966-10-19,Other,Widowed,Bachelor's Degree
Ap825451,705-80-2146,John Rivers,2000-04-04,Female,Widowed,Doctorate
Ap207450,140-77-3929,Zachary Taylor PhD,1958-10-02,Male,Separated,High School Diploma
Ap271890,153-27-2590,Johnny Trujillo,1976-12-22,Other,Widowed,Associate's Degree
Ap538741,219-30-7156,Christina Michael,1985-09-26,Female,Divorced,Associate's Degree
Ap381974,065-07-6379,Chelsea Scott,1990-09-02,Other,Separated,High School Diploma
Ap500109,222-98-7444,Amber Schmidt,1963-02-21,Other,Married,Some College
Ap216381,703-08-7831,Steven Poole,1990-10-17,Other,Divorced,Bachelor's Degree
Ap573125,879-91-0753,Edwin Green III,1966-09-08,Other,Divorced,Doctorate
Ap671621,337-49-9284,Valerie Ayers,1998-03-22,Female,Divorced,Doctorate
Ap234508,428-17-8520,Deborah Lyons,1961-12-24,Other,Separated,Doctorate
Ap829650,716-44-7452,Shannon Jacobson,2001-04-16,Female,Married,Doctorate
Ap962645,779-69-7781,Thomas Vance,2001-10-27,Other,Divorced,Bachelor's Degree
Ap499111,511-01-4371,Charles Riley,1988-09-07,Male,Widowed,Doctorate
Ap250810,017-20-4249,Angela Mitchell,1955-11-09,Female,Divorced,Doctorate
Ap392890,492-04-9540,ANDREA JORDAN,1998-04-19,Other,Divorced,Bachelor's Degree
Ap673665,446-12-1742,Katie Terry,1982-06-19,Other,Widowed,Bachelor's Degree
Ap940477,228-21-2072,Taylor Ramos,1959-05-03,Other,Separated,Doctorate
Ap460032,874-46-7547,Mark Hill,1958-02-10,Other,Single,High School Diploma
Ap469599,261-37-3616,Shari Jackson,1973-10-18,Male,Widowed,Doctorate
Ap760960,474-15-2263,Ray Harrington,1953-06-26,Other,Separated,Associate's Degree
Ap850020,449-19-9311,Nicholas Smith,1979-07-30,Other,Separated,Bachelor's Degree
Ap979611,749-92-7347,Beth Salas,1996-05-10,Female,Divorced,High School Diploma
Ap271836,815-79-2438,Andrew Sandoval,1980-04-02,Male,Single,Associate's Degree
Ap829903,586-92-6515,Matthew Byrd,1955-01-30,Male,Single,High School Diploma
Ap145714,625-51-5908,Jonathan Clark,1952-07-03,Female,Single,Doctorate
Ap727234,341-43-5825,Zachary Thomas,1982-11-07,Female,Widowed,High School Diploma
Ap996048,298-57-0793,Kevin Cook,1965-02-23,Male,Widowed,Bachelor's Degree
Ap730271,172-77-3717,Christian Mosley,2006-02-11,Male,Separated,Doctorate
Ap566960,874-16-2840,Jane Fischer DVM,1963-08-13,Male,Married,Bachelor's Degree
Ap811851,886-08-5649,Justin Wong,1973-06-13,Other,Separated,Doctorate
Ap224123,367-90-5173,Nichole Miller,1959-04-19,Other,Single,High School Diploma
Ap405628,397-76-7038,Leah Smith,1979-07-11,Male,Divorced,Master's Degree
Ap182989,372-47-5193,Eric Mccoy MD,1952-12-03,Female,Single,Bachelor's Degree
Ap398356,098-56-5659,Robert Shea,1986-08-22,Male,Divorced,Some College
Ap929957,069-23-7975,Dana Silva,1983-03-27,Female,Separated,Bachelor's Degree
Ap278274,453-68-3514,Jonathan Daniel,1959-09-14,Male,Single,Some College
Ap787995,851-92-3905,Joe Hammond,2001-09-15,Other,Separated,High School Diploma
Ap425352,699-62-5748,Melissa Wilson,1995-03-14,Female,Divorced,Doctorate
Ap920260,852-43-5505,Steven Jones,1950-04-17,Male,Single,Bachelor's Degree
Ap511927,553-64-4306,Karen White,2002-10-04,Other,Widowed,High School Diploma
Ap889852,853-46-1553,Katrina Perez,1964-01-27,Other,Single,Bachelor's Degree
Ap983184,768-47-9477,Scott Foster,2005-11-13,Other,Single,Some College
Ap231373,480-43-4489,Eric Fitzpatrick,1971-02-06,Male,Single,Master's Degree
Ap538452,244-73-9337,Belinda Mack,1959-09-26,Female,Divorced,High School Diploma
Ap215294,003-39-6286,Christine Williams,2006-12-10,Female,Married,Associate's Degree
Ap559451,616-19-7890,Thomas Ryan,1981-08-14,Male,Widowed,Bachelor's Degree
Ap748307,790-53-3333,Mr. Jeffrey Burke,1975-09-10,Male,Divorced,Associate's Degree
Ap165726,315-77-6816,Peter Wagner,1988-05-16,Female,Divorced,Master's Degree
Ap241564,883-81-4914,Katie Moore,1996-06-02,Other,Married,Associate's Degree
Ap477812,450-26-1108,Dylan Delacruz,1963-05-30,Other,Divorced,Doctorate
Ap368246,596-02-6952,Stephanie Vincent,1988-10-04,Female,Widowed,Master's Degree
Ap805696,673-61-6302,Kristen Middleton,1998-07-15,Other,Married,Some College
Ap218015,412-96-4688,Timothy Tyler,1960-11-25,Other,Divorced,Bachelor's Degree
Ap840674,866-86-9804,Sally Arellano,1974-03-22,Other,Divorced,Some College
Ap354079,645-25-8468,Amber Elliott,1988-08-29,Other,Single,Doctorate
Ap650929,706-01-2447,Meredith Garcia,1985-03-21,Female,Widowed,Doctorate
Ap789944,006-83-0610,Lynn Wright,1962-06-28,Male,Married,Master's Degree
Ap788105,686-88-6832,Angelica Webb,1971-10-24,Male,Separated,Some College
Ap613758,379-08-0353,Mr. Rick Bennett,1957-06-04,Female,Single,High School Diploma
Ap465890,418-28-0045,Paul Rios,1983-03-17,Male,Widowed,High School Diploma
Ap545101,358-97-9433,Sharon Carlson,1965-12-18,Other,Divorced,Associate's Degree
Ap136631,722-56-0157,Michael Cooper,1955-05-21,Female,Widowed,Bachelor's Degree
Ap866577,450-91-0152,Krystal Sullivan,1973-06-03,Male,Divorced,Bachelor's Degree
Ap172991,018-92-7909,Heather Farmer,1984-07-27,Other,Divorced,Master's Degree
Ap104014,267-52-5365,Angel Williams,1953-04-19,Other,Widowed,Some College
Ap373237,773-47-0463,Jeffrey Lopez,2001-08-26,Other,Married,Some College
Ap118070,799-79-4141,Ashlee Li,1960-09-29,Other,Single,High School Diploma
Ap922209,466-12-1931,Justin Bryant,1967-12-27,Male,Single,Doctorate
Ap156958,565-90-6620,Jason Patton,1969-01-11,Female,Divorced,Associate's Degree
Ap182074,499-12-1118,George Knight,1987-04-06,Female,Married,Some College
Ap635017,449-54-4147,Douglas Schneider,1999-08-07,Female,Divorced,Doctorate
Ap855073,415-88-7469,Thomas Johnson,1949-07-13,Male,Divorced,Bachelor's Degree
Ap276089,116-44-1620,Rodney Griffith,1957-05-20,Male,Single,Bachelor's Degree
Ap297392,358-36-2057,Michael Wright,1978-02-12,Male,Single,Doctorate
Ap258823,161-44-7759,Whitney Myers,1965-08-14,Female,Divorced,Associate's Degree
Ap730152,134-84-2538,Logan Zimmerman,2005-10-04,Female,Married,Master's Degree
Ap493002,126-79-6422,Michael Joyce,1949-12-01,Other,Separated,Master's Degree
Ap833429,676-19-1757,Kristin Fritz,1981-08-11,Female,Separated,Master's Degree
Ap598863,876-79-3092,Allison Colon,1994-11-03,Male,Widowed,Doctorate
Ap467654,360-29-6740,Jennifer Campbell,2002-01-17,Male,Separated,Bachelor's Degree
Ap679036,566-29-0397,Kelsey Henry,2007-03-01,Female,Widowed,Master's Degree
Ap630089,553-96-5951,Eric Martin,1952-03-14,Male,Married,Doctorate
Ap250262,172-69-4364,Charles Dominguez,1982-12-20,Female,Divorced,Associate's Degree
Ap542905,848-63-9642,Michael Patterson,2002-12-21,Other,Widowed,Some College
Ap335362,075-77-6198,Jennifer Roberts,1957-07-12,Male,Separated,Some College
Ap544209,398-90-4324,Allen Martin,2004-09-20,Other,Divorced,Doctorate
Ap653880,053-79-4287,Jessica Smith,2000-03-20,Female,Divorced,Associate's Degree
Ap897079,470-76-1645,Brian Key,1991-02-04,Female,Married,Doctorate
Ap764076,506-57-2831,Monique Salinas,1974-01-10,Other,Widowed,Some College
Ap319963,823-12-5888,David Jones,1963-01-31,Female,Married,Associate's Degree
Ap580761,499-33-5453,Jordan Smith,1971-07-29,Male,Widowed,Doctorate
Ap348710,497-29-0976,Amy Edwards,1964-12-17,Male,Divorced,Some College
Ap320984,720-62-1025,Taylor Stewart,1990-02-12,Male,Single,Master's Degree
Ap997059,695-42-4762,Matthew Nelson,1975-06-09,Female,Widowed,Doctorate
Ap956748,062-87-1142,Kenneth Rodriguez,1994-07-20,Female,Married,Associate's Degree
Ap882355,450-54-1216,Dean Perez,1966-10-15,Other,Separated,Associate's Degree
Ap364512,098-94-4905,Brenda Acevedo,1976-02-05,Other,Separated,High School Diploma
Ap701863,776-04-8690,Michael White,1985-06-27,Other,Divorced,Bachelor's Degree
Ap368799,877-06-1788,Valerie Walker,1982-05-30,Male,Single,Some College
Ap337549,816-97-1222,Pamela Robinson,1950-04-12,Male,Single,Master's Degree
Ap694319,653-73-4710,Jennifer Davis,1953-12-20,Male,Widowed,Associate's Degree
Ap584299,706-09-6117,Joseph Freeman,1987-09-14,Other,Married,Doctorate
Ap712210,438-77-7970,Emily Phillips,1971-03-14,Other,Widowed,Bachelor's Degree
Ap548982,204-81-0265,Frank Banks,1991-05-05,Female,Separated,High School Diploma
Ap224046,851-70-1131,Isaac Reed,1957-01-27,Other,Divorced,Master's Degree
Ap506619,302-91-1709,Jose Martinez,1962-05-25,Female,Single,Doctorate
Ap132097,521-71-2561,Martha Ortega,1954-10-18,Female,Married,High School Diploma
Ap766326,589-19-8464,Kristin Johnson,1954-02-12,Other,Divorced,Doctorate
Ap749150,097-77-6003,Peter Lin,1979-01-09,Other,Divorced,Associate's Degree
Ap330229,480-99-9399,Justin Jennings,2006-04-26,Male,Divorced,Some College
Ap218834,599-43-5688,Heather Andrews,1984-11-17,Other,Single,Master's Degree
Ap193848,240-22-5921,Stacy Dalton,1968-06-11,Female,Married,Associate's Degree
Ap152921,484-28-3593,Nicholas Ellis,1975-04-25,Female,Widowed,Master's Degree
Ap805086,743-71-8006,Amanda Reynolds,1963-05-02,Other,Single,Bachelor's Degree
Ap750429,320-44-1822,Jessica Harvey,1984-05-02,Female,Divorced,High School Diploma
Ap805660,714-42-0702,Ryan Duncan,1999-01-17,Other,Widowed,Some College
Ap384821,124-94-8943,William Wright,1966-05-10,Other,Divorced,Master's Degree
Ap155609,345-33-1952,Monica Dodson,1989-09-25,Other,Widowed,Master's Degree
Ap327897,259-82-7978,Ryan Clements,1972-06-22,Other,Widowed,Master's Degree
Ap131024,037-03-5795,Dr. Patricia Campbell,1982-03-01,Female,Separated,Doctorate
Ap170313,773-42-8688,Anna Vasquez,1960-07-13,Other,Widowed,Some College
Ap489957,537-20-2947,Joseph Lopez,1957-06-27,Male,Separated,Bachelor's Degree
Ap284078,390-11-0928,Jack Fowler,1992-03-12,Female,Divorced,Bachelor's Degree
Ap457429,699-92-5024,Tiffany Davis,1976-11-28,Other,Married,Doctorate
Ap561243,896-87-4514,Andrea Sherman,1968-03-24,Male,Married,Some College
Ap213632,613-88-2825,Lydia Martin,1958-01-30,Other,Divorced,High School Diploma
Ap351451,344-93-7404,Thomas Smith,1990-08-08,Male,Married,High School Diploma
Ap103051,380-11-5025,Edward Duran,1993-05-24,Male,Widowed,Associate's Degree
Ap804107,103-60-2872,Kenneth Evans,1970-11-06,Female,Single,Associate's Degree
Ap476836,464-79-4658,Bruce Murphy,1969-09-28,Other,Married,Bachelor's Degree
Ap711523,779-49-5432,Kaitlyn Hughes,1974-03-16,Male,Married,Master's Degree
Ap821772,873-58-1667,Mrs. Debra Sullivan,1949-11-20,Other,Single,Some College
Ap289407,158-03-6716,Kendra Kelly,1950-03-12,Other,Separated,Doctorate
Ap549395,027-85-1893,Antonio Pacheco,1985-10-28,Other,Separated,High School Diploma
Ap562894,784-81-6845,David Robinson,1978-11-15,Male,Widowed,Master's Degree
Ap311810,631-80-0615,Caroline Monroe,1972-06-08,Male,Divorced,Bachelor's Degree
Ap827975,676-70-0857,Heidi Mccarthy,1960-07-13,Female,Widowed,Doctorate
Ap173523,667-88-6527,Brianna Lynch,2000-08-31,Female,Single,Master's Degree
Ap860463,189-78-1546,Jack Martin DDS,1993-09-04,Female,Separated,Some College
Ap194476,376-36-2260,Ashley Boyd,1959-11-17,Female,Separated,Some College
Ap333841,031-53-1344,Shaun Brown,1987-06-08,Male,Single,Master's Degree
Ap903451,053-66-4890,Jason Murray,1976-03-03,Other,Divorced,Doctorate
Ap970045,253-16-2768,Jeffrey Vargas,1966-08-09,Male,Divorced,High School Diploma
Ap322866,582-11-1026,Christopher Barr,1956-09-25,Other,Widowed,Some College
Ap186672,703-59-2885,Colton Glover,1999-05-13,Male,Married,High School Diploma
Ap698135,709-28-2239,Bryan Phillips,1982-12-20,Female,Separated,High School Diploma
Ap444894,886-87-1245,James Harris,2001-10-24,Male,Widowed,High School Diploma
Ap834994,138-68-7031,Tanya Brown,1978-06-28,Female,Divorced,Bachelor's Degree
Ap128251,537-52-9828,Joshua Lucas,1977-06-28,Other,Divorced,Bachelor's Degree
Ap727769,050-98-8624,Robert Salazar,2003-04-26,Male,Separated,Master's Degree
Ap474710,504-11-5525,Mitchell Mcguire,1962-07-04,Other,Widowed,Master's Degree
Ap650233,091-34-2705,Marco Vega,1989-12-10,Female,Separated,Some College
Ap977284,741-37-2669,James Strong,1989-04-03,Other,Divorced,Doctorate
Ap132217,574-23-8391,Kelly Hudson,2004-09-29,Other,Widowed,High School Diploma
Ap108308,126-13-7161,Cindy Davis,1969-05-24,Female,Divorced,Some College
Ap368093,115-14-6147,Jonathan Jackson,1965-12-10,Other,Separated,Bachelor's Degree
Ap283062,396-80-4500,Travis Medina,1967-05-27,Male,Widowed,High School Diploma
Ap494366,250-87-2895,Samuel King,1960-11-07,Female,Married,High School Diploma
Ap844840,513-13-9569,Judith Edwards,1965-03-25,Male,Single,Bachelor's Degree
Ap200235,513-79-0763,Amber Woods,1971-02-16,Female,Single,Bachelor's Degree
Ap174740,857-18-2014,Jonathan Horton,1991-05-16,Other,Divorced,Associate's Degree
Ap478496,476-98-5722,Danielle King,1964-10-05,Other,Married,Some College
Ap953049,230-23-1777,Donald Williams,1966-07-17,Other,Widowed,Some College
Ap850201,555-72-5594,Troy Rollins,1959-01-20,Other,Separated,Associate's Degree
Ap903328,411-23-1780,Larry Cole,2005-11-24,Male,Widowed,Bachelor's Degree
Ap277247,149-59-0895,Monique Gomez,1994-05-22,Other,Married,Some College
Ap763165,684-40-2800,Jordan Sanchez,1984-07-24,Male,Widowed,Master's Degree
Ap629525,267-50-2528,Heather Rivera,1965-04-29,Female,Divorced,Bachelor's Degree
Ap120056,485-93-5033,Renee Nguyen,2004-12-21,Other,Divorced,High School Diploma
Ap276615,229-36-1567,Chase Williams,1990-06-11,Male,Divorced,Some College
Ap287628,332-38-7510,Matthew Case,1957-11-23,Male,Separated,Doctorate
Ap738836,893-20-1444,Theresa Moore,1976-08-02,Female,Married,Some College
Ap473632,592-78-9884,Seth Meyer,1959-08-20,Female,Divorced,Some College
Ap234415,492-27-7177,Robert Delgado,1951-06-09,Female,Widowed,Master's Degree
Ap506716,238-47-9257,Lisa Palmer,1973-12-27,Other,Married,High School Diploma
Ap546438,517-38-0697,Matthew Carr,1986-11-15,Male,Separated,Bachelor's Degree
Ap653663,569-44-4608,Bradley Jones,1981-08-20,Other,Married,Bachelor's Degree
Ap765022,192-89-6131,Shawn Harrington,1988-08-09,Other,Married,Some College
Ap641252,056-74-9783,Joseph Myers,1996-01-13,Female,Separated,Associate's Degree
Ap737717,126-54-8425,Michelle Thomas,1965-06-12,Male,Divorced,Some College
Ap352764,416-14-0155,Mrs. Stephanie Strong,1971-07-05,Male,Widowed,Some College
Ap814998,297-63-5119,Cassandra Nolan,1949-06-03,Female,Widowed,Master's Degree
Ap566882,883-29-3916,Melissa Cantu,2006-08-24,Female,Divorced,Associate's Degree
Ap840427,413-70-4644,David Smith,2003-12-07,Other,Divorced,High School Diploma
Ap612153,598-37-6093,Melissa Gutierrez,1996-12-04,Other,Divorced,High School Diploma
Ap167215,321-75-2436,Elizabeth Young,1949-10-19,Female,Divorced,Associate's Degree
Ap955474,585-80-5846,Terrence Watson,1950-07-28,Male,Widowed,Associate's Degree
Ap244356,372-74-2678,Dawn Jackson,1953-04-06,Other,Divorced,Bachelor's Degree
Ap303861,496-27-5988,Julie Phillips,1974-01-01,Female,Separated,High School Diploma
Ap455612,355-55-9127,Summer Nelson,1952-04-23,Male,Married,High School Diploma
Ap554605,790-08-1747,Russell Cannon,1970-09-03,Other,Single,High School Diploma
Ap109435,695-06-8382,Lynn Adams,1985-05-12,Male,Separated,High School Diploma
Ap547556,534-38-1479,Andrew Taylor,1959-10-04,Other,Divorced,Some College
Ap799438,293-28-5178,Lisa Foster,1970-06-10,Male,Married,Associate's Degree
Ap965264,012-79-7135,Franklin Warner,1995-11-24,Male,Divorced,Some College
Ap675581,279-29-9984,Gregory Kirk,1989-11-17,Female,Widowed,Bachelor's Degree
Ap178781,499-86-3614,Melissa Wolfe,1979-11-14,Other,Divorced,Master's Degree
Ap291475,085-78-1914,Candace Green,1965-09-30,Female,Widowed,Master's Degree
Ap260196,054-61-8838,Jennifer Horn,2006-04-25,Female,Single,Some College
Ap326507,333-40-6631,Anna Walker,1997-07-25,Female,Widowed,Associate's Degree
Ap406063,648-92-6628,Laurie Miller,1983-05-04,Other,Married,Bachelor's Degree
Ap864121,740-73-9250,James Rivera,1956-09-20,Female,Separated,Bachelor's Degree
Ap876665,659-63-5886,Scott Harper,1967-04-11,Female,Widowed,Master's Degree
Ap790607,253-18-5940,Alexander Watson,1976-10-26,Female,Separated,Some College
Ap221172,310-23-2311,James Olson,1958-10-23,Male,Separated,High School Diploma
Ap456902,500-10-3421,Patrick Price,1981-07-28,Female,Divorced,High School Diploma
Ap584963,388-65-8254,Vanessa Lynch,1958-12-13,Other,Divorced,Some College
Ap555968,889-27-8453,Jamie Castillo,1973-05-05,Other,Separated,High School Diploma
Ap418717,869-15-3635,Brianna Gonzalez,1985-10-13,Other,Married,Associate's Degree
Ap159101,601-33-1871,Candice Garrett,1974-05-07,Other,Divorced,Some College
Ap595972,107-94-2598,Kenneth Miller,1958-10-03,Other,Single,Doctorate
Ap388790,092-44-0879,Brenda Mullen,1977-03-24,Female,Married,High School Diploma
Ap990617,366-87-7079,Alan Smith,1970-11-26,Male,Separated,Associate's Degree
Ap647337,030-58-0456,Tanya Bishop,1999-08-11,Male,Married,High School Diploma
Ap834965,840-09-0807,Dr. James Turner,1988-03-30,Female,Widowed,Some College
Ap460260,407-10-6231,Brianna Mathews,1973-07-03,Male,Divorced,Doctorate
Ap983811,385-51-0741,Gary Mccarthy,1998-04-03,Female,Married,Master's Degree
Ap692673,335-53-3142,Brandy Hull,2001-08-08,Female,Divorced,High School Diploma
Ap750419,188-31-2163,Rachel Silva,1957-07-01,Other,Widowed,Associate's Degree
Ap533374,619-85-0058,Lisa Hancock,1996-12-01,Male,Widowed,Doctorate
Ap820777,084-23-1662,Amanda Porter,1966-01-07,Female,Widowed,Associate's Degree
Ap647577,467-99-5978,Samantha Lindsey,1972-01-04,Male,Widowed,Bachelor's Degree
Ap472370,733-14-1008,Brian Hill,1955-07-20,Other,Separated,High School Diploma
Ap987225,382-92-9205,JOY DAVIS,1987-10-10,Male,Married,Associate's Degree
Ap371967,255-89-1438,Carl Glenn,1953-08-27,Male,Widowed,Associate's Degree
Ap291232,850-47-0089,Carol Atkinson,1965-12-28,Male,Married,Associate's Degree
Ap404119,837-53-3779,Jenna Dennis,1978-02-04,Other,Single,Associate's Degree
Ap109540,426-01-3994,Sara Martinez,1955-01-21,Other,Divorced,High School Diploma
Ap640652,866-91-8871,Jamie Chang,1969-07-22,Male,Married,Bachelor's Degree
Ap497827,237-35-6050,Jessica Reyes,1998-05-04,Female,Divorced,Associate's Degree
Ap651951,092-17-2459,Isaiah Chavez,1954-10-19,Other,Divorced,Some College
Ap151991,456-69-1797,William Fox,1972-10-22,Male,Single,Master's Degree
Ap288751,165-43-0155,Andrew Hughes,1973-09-24,Other,Married,High School Diploma
Ap466326,049-67-2036,Eric White,1989-05-04,Other,Single,Doctorate
Ap786337,039-62-0694,Meagan Orr,1989-06-30,Male,Separated,High School Diploma
Ap718992,892-08-0213,David Adams,1966-08-24,Other,Widowed,Bachelor's Degree
Ap149115,119-76-2230,Kimberly Cox,1989-07-17,Other,Widowed,Some College
Ap453151,632-33-9701,Paula Swanson,1950-10-11,Other,Separated,Doctorate
Ap843583,558-62-0358,Patricia Henry,1964-01-16,Female,Single,Associate's Degree
Ap291962,136-95-4836,Emily Martin,1966-01-26,Other,Single,Some College
Ap821747,846-52-4890,Stephanie Burnett,1950-12-28,Other,Divorced,Some College
Ap249143,887-66-7073,Grant Horn,2004-06-05,Male,Single,Some College
Ap814635,596-92-3835,Ashley Combs,1995-03-18,Other,Married,Associate's Degree
Ap636226,305-51-6772,Robert Williams,1961-11-19,Other,Single,Bachelor's Degree
Ap453824,663-02-5994,Angela Martin,1969-09-10,Female,Separated,High School Diploma
Ap104000,076-18-2760,Jesse Roberts,1949-07-25,Other,Widowed,Some College
Ap825948,575-92-8220,Richard Peterson,1968-09-25,Female,Single,Master's Degree
Ap987474,478-87-8459,Madeline Jones,1961-12-05,Other,Separated,Bachelor's Degree
Ap455754,093-78-9358,Jesse Wyatt,1965-12-07,Female,Married,Associate's Degree
Ap351492,797-88-6097,Pamela Ward,1993-03-20,Other,Separated,Some College
Ap990123,438-28-8323,Victoria Baker,2006-10-30,Other,Married,Doctorate
Ap599522,529-91-3827,Jean Prince,1990-11-27,Female,Married,Doctorate
Ap591072,148-13-1107,Julie Hernandez,1960-07-18,Female,Single,Master's Degree
Ap138304,002-88-9706,Thomas Ryan,1975-08-17,Other,Widowed,Master's Degree
Ap604999,046-64-4220,William Gomez,1995-05-15,Other,Single,Some College
Ap431593,683-82-1030,Christopher Adams,1966-12-11,Other,Married,Bachelor's Degree
Ap707274,739-75-6586,Raymond Russell,1984-04-30,Female,Married,Some College
Ap251836,232-86-1933,Justin Black,1958-01-16,Male,Married,Associate's Degree
Ap208940,168-08-1271,Deborah Taylor,1988-04-23,Male,Divorced,Bachelor's Degree
Ap924926,721-23-9557,Destiny Macias,1950-02-03,Other,Single,Associate's Degree
Ap365517,474-51-7696,Brittany Cobb,1983-04-01,Other,Single,Associate's Degree
Ap767521,812-23-5472,Amy Morris,1969-11-25,Other,Widowed,Associate's Degree
Ap721820,321-84-6771,PETER CHAPMAN,1977-07-14,Male,Single,Bachelor's Degree
Ap979090,769-11-1444,Jeremy Tucker,1996-06-07,Other,Separated,Master's Degree
Ap485777,011-73-8659,Peter Wallace,1955-08-21,Male,Divorced,High School Diploma
Ap724674,869-21-8832,Melissa Hebert,2006-09-04,Other,Separated,Master's Degree
Ap651638,222-35-4172,Jacob Villegas,1978-05-13,Female,Married,Master's Degree
Ap717296,842-99-9355,Adam Jimenez,1951-05-25,Female,Divorced,Some College
Ap980729,702-10-2361,Curtis Henderson,1977-12-03,Female,Separated,Doctorate
Ap649639,111-65-6340,Norman Johnson,1961-03-05,Other,Widowed,High School Diploma
Ap712956,875-32-1798,Mark Howard,1968-12-03,Female,Separated,Bachelor's Degree
Ap738873,419-78-4077,Matthew Decker,1956-10-18,Other,Single,Bachelor's Degree
Ap437497,863-80-4879,Janet Reeves,1980-09-05,Other,Widowed,Associate's Degree
Ap307869,688-51-2270,Emily Burns,1998-12-06,Other,Widowed,High School Diploma
Ap165953,139-97-2757,Cole Hayes,1981-12-28,Other,Single,Associate's Degree
