Application ID,Application Date,Loan Type,Loan Amount Requested (USD),Loan Purpose,Repayment Tenure (Months),Applicant SSN,Applicant Full Name,Applicant Date of Birth,Applicant Gender,Applicant Marital Status,Applicant Level of Education,Applicant Street Address,Applicant City,Applicant State,Applicant Zip Code,Applicant Phone Number,Applicant Email Address,Employment Type,Employer Name,Duration of Employment (Years),Monthly Income (USD),Bank Account Number,Next of Kin Full Name,Next of Kin Relationship,Next of Kin Phone Number
USLW-APP-20250317-918,2025-03-17,Personal,17470.0,Medical Expenses,21.0,030-87-6750,Matthew Forbes,1972-01-04,Male,Single,Some College,3578 Keith Ville,Khanland,Arkansas,88619,(434)086-3793,emilysmith@johnson-hanson.biz,,,0.0,0.0,117315882,Frank Huff,Friend,001-045-612-7466x18230
USLW-APP-20240619-584,2024-06-19,Small Business,70569.0,Expansion,30.0,858-78-3644,Courtney David,1959-08-29,Other,Married,Some College,0223 Conner Crest,Lake Frederickchester,North Carolina,34439,006-451-1901x746,robertdavis@odonnell.com,Self-Employed,Patterson-Jacobson LLC,5.8,18355.0,094126152,Ricardo Miller,Parent,190-857-0114
USLW-APP-20241130-229,2024-11-30,Mortgage,724963.0,Refinance,256.0,596-58-2651,Sabrina Lee,1962-10-06,Other,Divorced,,3268 Ryan Views,Blakeburgh,,89476,588-258-7108x197,brittanydavis@rodriguez.info,Salaried,Ray-Hughes Corp.,18.9,13714.0,057841487,Brittany Perkins,Parent,001-859-152-5739x43445
USLW-APP-20241225-564,2024-12-25,Small Business,390586.0,Startup Costs,30.0,208-39-0515,Diana Sullivan,1999-10-27,Other,Separated,Doctorate,94953 Corey Loaf,North Christopher,Illinois,12301,(623)311-8901,jlewis@yahoo.com,Salaried,Miller LLC Corp.,23.1,10216.0,068510590,Stephen Carlson,Sibling,(035)297-2179x16995
USLW-APP-20240804-695,,Personal,10999.0,Debt Consolidation,14.0,280-34-5473,Mariah Cox,1977-11-01,Male,Widowed,Associate's Degree,51885 Conner Fall Suite 897,Hallhaven,Hawaii,14868,315-858-3342,xhicks@gmail.com,Hourly,Garcia Group Corp.,19.5,27611.0,111664487,Edward Phillips,Sibling,
USLW-APP-20241227-110,2024-12-27,Personal,15009.0,Debt Consolidation,46.0,633-53-6314,Brandon Wallace,1999-06-16,Male,Married,High School Diploma,034 Reyes Loop,Robertsshire,Alaska,,001-981-561-0400x0266,geraldramirez@hudson.com,Salaried,Davis and Sons Corp.,5.8,15751.0,046719847,Taylor Graves,Spouse,606.397.0772
USLW-APP-20240516-173,2024-05-16,Small Business,39976.0,Expansion,84.0,441-86-9224,Mr. Robert Parker,2002-10-21,Female,Widowed,Master's Degree,340 John Well Apt. 629,Simmonsville,Oregon,73135,784.861.0238,mendezmanuel@lopez.com,Unemployed,,0.0,0.0,052769768,,Spouse,001-587-330-6210
USLW-APP-20241020-409,2024-10-20,Mortgage,576335.0,Home Purchase,265.0,,Stephanie Maxwell,1966-01-21,Male,Single,Doctorate,100 Barber Crest,New Roberthaven,Iowa,42759,954.765.6735x50438,millerkim@hotmail.com,Salaried,Johnson and Sons Corp.,8.4,23655.0,044872919,Brittany Terry,Friend,(404)863-6118x4976
USLW-APP-20240512-733,2024-05-12,Personal,35407.0,Other,18.0,439-66-3127,Alexis Lambert,1984-10-01,Male,Divorced,Associate's Degree,0347 Hill Spring Apt. 266,Brandyshire,Vermont,63636,134.616.9378x970,jim17@hotmail.com,Self-Employed,Smith-Ward LLC,15.9,3352.0,083279557,Audrey Higgins,Sibling,902-600-6186x270
USLW-APP-20240923-900,2024-09-23,Personal,33056.0,Other,49.0,129-97-3401,Alec Phillips,1952-12-09,Female,Married,Bachelor's Degree,652 Scott Pass Apt. 183,New Selenafort,Oklahoma,70944,(959)016-9816x4105,,Hourly,Johnson PLC Corp.,19.8,6060.0,102549281,Kristopher Ramirez,Friend,
USLW-APP-20250215-754,2025-02-15,Small Business,54499.0,Expansion,75.0,,Alexander Gibson,1998-05-04,Female,Married,Bachelor's Degree,9396 Manuel Flat,,,04212,(136)340-2994,ytrevino@lee.info,Salaried,Lee Inc Corp.,4.6,15992.0,092517103,Christopher Campbell,Friend,001-908-881-0495x4419
USLW-APP-20240407-944,2024-04-07,Personal,1121.0,Debt Consolidation,47.0,360-04-3436,JOHN ROBERTS,1968-03-27,Female,Widowed,Associate's Degree,83502 Brent Fort Apt. 204,Gregorytown,Nevada,85634,7448118291,cherylwalker@shepherd.com,Salaried,"White, Sims and Marshall Corp.",22.2,16236.0,107266051,Fernando Montgomery,Friend,602-408-7766x95086
USLW-APP-20250209-376,2025-02-09,Personal,34872.0,Education,21.0,702-90-6240,Kenneth Hammond,1995-04-08,Other,Widowed,Master's Degree,580 Jonathan Branch Suite 355,Juliafurt,West Virginia,02468,001-094-047-6654x108,ohudson@christensen.biz,,Santos PLC Corp.,20.6,,117354720,Adam Stewart,Spouse,516.457.2213
USLW-APP-20250306-201,2025-03-06,Small Business,41455.0,Inventory,73.0,875-99-3827,Jason Burke,1982-09-05,Female,Widowed,Some College,114 Graham Shoal,North Thomas,Oregon,,5633678408,perrymichael@hotmail.com,Unemployed,,0.0,0.0,066625348,Ricardo Long,Spouse,056-704-1963x75579
USLW-APP-20240417-445,2024-04-17,Personal,6271.0,Debt Consolidation,60.0,079-17-8096,Tiffany Hernandez,1991-03-21,Male,Divorced,Some College,0266 Jennifer Haven,Port Normaview,Texas,16905,,heatherclements@finley-bryant.com,Salaried,Smith Inc Corp.,12.1,22147.0,116301431,Timothy Moore,Friend,+1-502-155-2451
,,Mortgage,672251.0,Refinance,337.0,674-13-2143,Heather Avery,,Other,Widowed,Bachelor's Degree,,West John,Texas,93715,(663)574-7011,smithpaula@nelson.com,Unemployed,,0.0,0.0,011079541,Dawn English,Sibling,001-666-752-6402x3053
USLW-APP-20241226-758,2024-12-26,Personal,46560.0,Other,51.0,,Ashley Walker,1982-03-19,Female,Single,Bachelor's Degree,895 Barnett Plaza Suite 712,,Michigan,52609,(127)613-8892x127,xfaulkner@medina.com,Unemployed,,0.0,0.0,030792485,Justin Mitchell,Sibling,(333)014-6310x53908
USLW-APP-20250326-418,2025-03-26,Small Business,198184.0,Expansion,26.0,211-76-8250,William Guzman,2003-01-21,Female,Separated,Some College,531 Parsons Row Apt. 049,Lake Douglasstad,Illinois,,504-832-6488x0320,obriendaniel@gmail.com,Salaried,"Hebert, Willis and Erickson Corp.",18.3,4469.0,072339945,Thomas Cook,Sibling,207-488-6847x706
USLW-APP-20241115-780,2024-11-15,Mortgage,495989.0,Refinance,263.0,415-37-3740,Kelly Reed,1985-05-11,Female,Married,Master's Degree,0407 Guzman Parkways,East Conniefort,Illinois,29142,2609254517x1105,duranalicia@hotmail.com,Salaried,"Griffin, Mendez and Chang Corp.",6.6,8533.0,037255446,Nicholas Clark,Spouse,271.295.1409x95074
USLW-APP-20240604-857,2024-06-04,Personal,31265.0,Vacation,60.0,280-03-7357,Troy Mills,1965-09-28,Male,Single,Bachelor's Degree,01479 Blair Station Suite 690,Jamesberg,Colorado,54436,0013775264605x593,willie14@mcbride.net,Salaried,Wood-May Corp.,22.9,12082.0,064283193,Jackie Mcintosh,Spouse,(951)014-5208x427
USLW-APP-20250217-287,2025-02-17,Auto,33629.0,Used Car Purchase,33.0,525-52-7572,Ms. Angela Davenport,1967-12-27,Female,Married,Some College,97957 Elizabeth Glen,Port Kristyfort,Louisiana,36766,+1-294-376-0137,patricia72@smith-cunningham.com,Salaried,White-Martin Corp.,16.9,5595.0,071919528,Ashley Morales,Parent,928.727.9853x9934
USLW-APP-20241218-272,2024-12-18,Mortgage,738247.0,Home Purchase,289.0,064-45-1727,Brian Bailey,1995-06-28,Female,Widowed,Some College,536 Theresa Pines,Collinsshire,California,04914,001-503-727-5544x37697,evansjoel@gmail.com,Salaried,"Robles, Evans and George Corp.",2.8,15726.0,084867528,Elizabeth Hodges,Spouse,627-808-2709x235
USLW-APP-20241009-933,2024-10-09,Mortgage,575361.0,Home Purchase,303.0,081-50-1282,ROBIN SPARKS,1978-05-20,Other,Widowed,Some College,5274 Vazquez Keys Apt. 738,West Arthur,Iowa,57420,001-435-608-5271,julialivingston@hotmail.com,Salaried,"Jones, Mcmahon and Burgess Corp.",24.4,9875.0,098945740,Lynn Mitchell,Parent,+1-310-935-6226x7872
USLW-APP-20240425-134,2024-04-25,Personal,23284.0,Vacation,42.0,419-79-1373,Joseph Lee,1979-11-14,,Separated,High School Diploma,010 Pam Row Apt. 843,Andersonville,Wisconsin,,001-141-139-8944x422,dennis41@gmail.com,Self-Employed,"Martinez, Lopez and Orozco LLC",10.6,24249.0,023356511,Timothy Jackson,Spouse,(787)712-7228
USLW-APP-20250108-614,2025-01-08,,43842.0,New Car Purchase,60.0,662-22-5785,Casey Rios,1998-05-02,Male,Separated,Associate's Degree,57734 Victoria Landing,Baileymouth,Rhode Island,10498,706.822.5577,bethphillips@hotmail.com,Salaried,"Mitchell, Mays and Dixon Corp.",20.9,9325.0,063077656,,Spouse,550.370.8135
USLW-APP-20250309-366,2025-03-09,,48917.0,Vacation,42.0,817-17-8491,John Wang,2004-05-03,Female,Divorced,Master's Degree,577 Melissa Groves Apt. 919,Bakerton,Washington,14934,848.964.6822x44388,dlopez@hotmail.com,Salaried,"Reeves, Rodriguez and Thompson Corp.",22.9,25642.0,081669033,James Hester,Parent,549.846.3802
USLW-APP-20240918-198,2024-09-18,Small Business,45888.0,Expansion,73.0,172-49-6821,Heather Hayden,1998-01-07,Male,Widowed,Doctorate,9879 Williams Wall Apt. 256,,Texas,91307,,vedwards@rivera.com,Salaried,Wells and Sons Corp.,29.3,7922.0,035659112,Crystal Chang,Friend,001-452-467-7810x8937
USLW-APP-20240520-141,2024-05-20,Personal,49673.0,Vacation,13.0,851-26-6496,Kelly Smith,1997-10-15,Female,Divorced,Associate's Degree,2327 Tami Courts Apt. 991,Thomasberg,Iowa,,399-277-6864x633,amber06@robbins.com,Self-Employed,,9.9,13182.0,070529524,Stephen Brown,Sibling,+1-796-785-6633x157
USLW-APP-20240925-588,2024-09-25,Mortgage,640997.0,Home Purchase,225.0,728-39-6174,Mark Liu,1995-10-08,Other,Married,Some College,5644 Humphrey Vista Suite 887,,South Dakota,51192,909-263-2479,julia47@gmail.com,Salaried,Stephens-Mooney Corp.,18.9,14892.0,114042116,Keith Tran,Spouse,(277)933-6337
USLW-APP-20240411-551,2024-04-11,Small Business,305104.0,Working Capital,37.0,672-85-5305,Jacqueline Hall,1978-02-19,Male,Single,Associate's Degree,44265 West Landing Apt. 882,Richardchester,Wisconsin,13879,,sonia15@hotmail.com,Hourly,Adams-Schmitt Corp.,23.0,15500.0,034802805,Amy Howell,Spouse,+1-695-475-1287x0521
USLW-APP-20250118-763,2025-01-18,Personal,43751.0,Debt Consolidation,54.0,,Kevin Davis,2005-11-05,Female,Divorced,Master's Degree,836 Jerome Park,Frankmouth,Virginia,,600.190.9759x98311,ortegaashley@hotmail.com,Salaried,Flores LLC Corp.,0.5,29599.0,084167053,Theresa Williams,Parent,968-492-8195
USLW-APP-20241115-164,2024-11-15,Personal,22028.0,Other,45.0,340-81-6519,Jesus Robinson,1987-07-18,Other,Single,High School Diploma,017 Mitchell Springs,Murphytown,West Virginia,52944,858.047.2478,xlindsey@gmail.com,Hourly,Hancock Inc Corp.,13.8,26505.0,118652609,Frank Davis,Sibling,+1-718-629-3338x29004
USLW-APP-20240915-541,2024-09-15,Small Business,273895.0,Expansion,41.0,555-04-9813,Dr. Hannah Carr MD,1950-09-15,Other,Widowed,Associate's Degree,95082 Fox Freeway,New David,Florida,47079,8870701902,john27@yahoo.com,Salaried,Smith and Sons Corp.,26.3,24561.0,029212510,Melinda Kelley,Parent,+1-008-107-0251x9599
USLW-APP-20240523-230,2024-05-23,Auto,67846.0,Used Car Purchase,27.0,090-68-1424,David Wright,1965-08-20,Male,Single,Some College,6144 Thompson Garden,West Benjamin,South Carolina,78483,(198)901-6737x0671,atucker@hotmail.com,Salaried,Patterson Inc Corp.,11.7,24079.0,050119530,Jacob Ramos,Sibling,(365)273-3971x393
USLW-APP-20240803-189,2024-08-03,Mortgage,,Home Purchase,357.0,048-67-2086,Robin Donovan,2001-12-13,Male,Divorced,Bachelor's Degree,0322 Brenda Streets Suite 604,Waltonhaven,Kansas,65388,581.455.7334,nreyes@gates.info,Salaried,"Williams, Clements and Rogers Corp.",1.3,15995.0,102681534,David Rice,Spouse,300.346.6213x28769
USLW-APP-20240426-321,2024-04-26,Personal,31894.0,,19.0,043-67-1573,Michael Patterson,1992-09-20,Male,Separated,Some College,7755 Roy Drive,Mcmahonfurt,Mississippi,14504,001-262-874-7912x68244,henry35@yahoo.com,Salaried,Harrison-Mccormick Corp.,9.2,5746.0,080970150,Lawrence Travis,Spouse,001-681-165-5962x0419
USLW-APP-20241012-768,2024-10-12,Auto,15501.0,Used Car Purchase,43.0,849-67-3733,Arthur Bailey,1992-10-13,Other,Widowed,Bachelor's Degree,2075 Ortiz Ports,Jacksonville,West Virginia,49511,+1-978-939-4702x9645,christianwilkins@hotmail.com,Salaried,Johnston and Sons Corp.,8.3,25698.0,105762793,Jerry Parker,Parent,+1-011-506-4928x839
USLW-APP-20241018-380,2024-10-18,Personal,24518.0,,52.0,150-63-8276,Jacob Hill,2001-11-24,Other,Married,Master's Degree,30963 Lopez Gardens,North Kelly,Oklahoma,24060,3067584315,rlambert@garcia-hensley.com,Salaried,Pearson Group Corp.,3.7,2186.0,,Tricia Bradley,Parent,+1-040-337-3330x376
USLW-APP-20250128-532,2025-01-28,Small Business,148715.0,Equipment Purchase,,565-76-6361,Susan Hurley,1970-01-30,Female,Single,Bachelor's Degree,25087 Hensley Run Apt. 137,,North Carolina,99178,+1-785-189-5631x3415,kelly91@hotmail.com,Self-Employed,"Moore, Morris and Rice LLC",9.0,12880.0,048612586,Mark White,Sibling,081-790-1200
USLW-APP-20240828-772,2024-08-28,Personal,10094.0,Vacation,46.0,025-33-1206,Kevin Owens,1997-05-24,Female,Single,Doctorate,629 Zachary Estates Apt. 181,North Cassidyfurt,West Virginia,24929,(067)669-5577x118,gibbsronald@hotmail.com,Salaried,Alvarado-Johnson Corp.,10.4,17496.0,017255288,John Griffin,Sibling,(825)376-6988
USLW-APP-20241019-610,2024-10-19,Mortgage,878248.0,Home Purchase,214.0,202-25-0507,Karen Mcdowell,1956-04-25,Female,Widowed,Doctorate,1983 Elijah Drives,Heidiside,Nebraska,30921,6583226382,westandrew@harris.com,Salaried,Parsons-Torres Corp.,19.9,24447.0,036645248,Dalton Hubbard,Friend,(891)357-8853
USLW-APP-20250302-614,2025-03-02,Mortgage,288694.0,Refinance,360.0,181-13-9553,Kenneth Harris,1957-12-24,Female,Separated,Associate's Degree,53368 Adam Ridge,East Melinda,Rhode Island,68405,016-757-8836,sandra83@yahoo.com,Salaried,Taylor LLC Corp.,9.4,18794.0,068894009,Tamara Welch,Spouse,(808)896-8484x328
USLW-APP-20241103-996,,Auto,70536.0,Used Car Purchase,65.0,114-42-5855,Sherry Bauer DDS,1978-06-08,Female,Married,Master's Degree,,New Rebecca,Wisconsin,05799,567-080-5926x2609,simmonschristopher@gmail.com,Salaried,Fernandez-Gonzalez Corp.,5.8,9009.0,122672390,Phillip Mccarthy,Spouse,001-063-528-8284x29555
USLW-APP-20240826-850,2024-08-26,Personal,44245.0,Debt Consolidation,14.0,669-78-7784,Elizabeth Vincent,,Male,Divorced,Associate's Degree,5279 Ashley Square,East Davidland,Wisconsin,39917,039-735-2193x896,patelkrista@parsons.com,Salaried,Perry-Johnson Corp.,20.7,20280.0,108133390,Martin Cunningham,Parent,785-427-2749x96262
USLW-APP-20241018-981,2024-10-18,Personal,,Debt Consolidation,57.0,577-83-5136,Mary Gibson,1964-04-16,Other,Single,Doctorate,5286 George Cliff,Port Christopherberg,Montana,92137,(851)133-3161x38782,jamie91@yahoo.com,Self-Employed,Martin Group LLC,14.2,10622.0,126649578,Michael Guzman,Sibling,(208)948-7819x73939
USLW-APP-20241002-197,2024-10-02,Personal,32748.0,Debt Consolidation,12.0,273-02-3164,Scott Thompson,2006-01-06,Female,Divorced,High School Diploma,49371 Tiffany Gardens Apt. 712,Phillipbury,Ohio,92898,(006)287-2500,,Salaried,Griffin-Tran Corp.,28.5,24217.0,100898277,Christopher Garcia,Sibling,369.894.6769
USLW-APP-20240506-147,2024-05-06,Auto,24670.0,Used Car Purchase,,109-33-1587,Joshua Hebert,1970-03-08,Other,Married,Some College,8162 Nicholas Parkway,Johnsonfurt,Washington,24284,001-733-757-9367x548,lcaldwell@yahoo.com,Self-Employed,Wu Group LLC,7.8,14630.0,093661948,James Mccormick,Sibling,716-560-8694x268
USLW-APP-20250220-559,2025-02-20,Mortgage,728902.0,Home Purchase,235.0,283-90-2613,James Powell,2006-02-01,Other,Single,Bachelor's Degree,624 Todd Corners Apt. 816,West Breanna,South Carolina,42153,556-447-0153x2660,jjones@gmail.com,,"Hughes, Solis and Campos Corp.",11.5,6635.0,035066967,Adam Moody,Spouse,(366)225-0610x473
,2025-02-23,Mortgage,464407.0,Refinance,189.0,085-18-4572,Kelly Cunningham,1958-10-16,Male,Divorced,Associate's Degree,959 Kelly Neck,New Miguelport,Oklahoma,95012,243.323.3957x273,crystal92@day.info,Self-Employed,Wells-Wells LLC,1.4,,095893471,Randall Snyder,Parent,364.059.5818
USLW-APP-20240714-760,2024-07-14,Personal,33967.0,Vacation,31.0,439-73-2154,Nicole Mcpherson,,Other,Widowed,Some College,824 Veronica Row Apt. 894,Gayfurt,Vermont,,647-932-3445,rosevillanueva@gmail.com,Salaried,Medina-Thompson Corp.,4.9,14551.0,050338036,Emily Cook,Parent,001-750-394-4104x691
USLW-APP-20240816-230,2024-08-16,Personal,6719.0,Vacation,49.0,799-06-7173,Alexis Le DDS,1966-07-07,Male,Single,Doctorate,630 Garcia Keys,Jonathanport,South Dakota,26614,(849)892-5824x22826,erin81@lewis.biz,Salaried,Zimmerman-Anderson Corp.,4.8,17961.0,048517869,Michele Patel,Parent,(853)724-1866
USLW-APP-20240823-100,2024-08-23,,40605.0,Education,37.0,391-38-4638,Ashley Huynh,1978-03-29,Male,Widowed,Bachelor's Degree,5156 Eric Branch Suite 981,South Allisonville,Nebraska,82481,,obrooks@gmail.com,Salaried,Fuller Ltd Corp.,27.6,8529.0,013214168,Luke Sanders,Parent,692.216.2342x57825
USLW-APP-20250318-697,2025-03-18,Mortgage,859020.0,,236.0,642-77-2276,Alexander Soto,1986-07-02,Male,Married,Bachelor's Degree,54796 Williams Overpass,Walshberg,Rhode Island,68151,147-671-9928x1320,rodneyanderson@christian.net,Salaried,Fernandez and Sons Corp.,3.1,5109.0,016734506,Alyssa Gentry,Sibling,3265805165
USLW-APP-20240810-195,2024-08-10,Small Business,330841.0,Inventory,63.0,482-35-0022,Nancy Collier DVM,1966-09-04,Male,Separated,Doctorate,6542 Justin View Apt. 644,Danielchester,Rhode Island,20502,075.827.5448x0727,hgonzalez@yahoo.com,Self-Employed,Bryant Group LLC,17.9,21507.0,013640428,Jeff Williams,Parent,819.169.9568
USLW-APP-20241205-163,2024-12-05,Personal,14408.0,Home Improvement,45.0,787-04-4772,Eric Buchanan,1960-01-01,Female,Married,Bachelor's Degree,588 Alexandra Drives,West Jamiehaven,West Virginia,53045,3799690734,hannahclark@davenport.net,Salaried,"Williams, Todd and Hernandez Corp.",24.2,4223.0,034182910,Bruce Lee,,001-231-281-4598x5742
USLW-APP-20241015-672,2024-10-15,Auto,69940.0,Used Car Purchase,50.0,176-47-9938,John Colon,1999-01-08,Other,Married,High School Diploma,54054 Jonathan Forks Apt. 454,North Alisonburgh,South Dakota,63295,+1-452-870-3975x59978,matthew89@gmail.com,Salaried,"Smith, Berry and Perry Corp.",4.5,5150.0,,Jenna Clay,Parent,505-097-8496
USLW-APP-20240803-948,2024-08-03,Personal,7252.0,Vacation,27.0,838-35-3776,Jacqueline Smith,1963-08-29,,Widowed,High School Diploma,35895 Miller Keys,Port Sean,Alabama,44159,,rwilson@gmail.com,Salaried,,3.2,11652.0,076548677,John Frye,Sibling,(336)531-5596
USLW-APP-20250227-473,2025-02-27,Mortgage,185256.0,Refinance,200.0,010-25-8625,Christina Evans,2000-10-13,Other,Single,Master's Degree,22466 Singh Mall,Elizabethmouth,Alabama,67485,001-491-398-2571x549,ryanalvarez@chapman-romero.com,Salaried,"Perez, West and Martin Corp.",21.4,12539.0,032691652,Roger Martinez,Sibling,(835)373-7284x10106
USLW-APP-20240623-684,2024-06-23,Personal,13624.0,Medical Expenses,16.0,681-31-3488,Kimberly Levine,1990-07-20,Male,Divorced,High School Diploma,0599 Tamara Inlet Apt. 896,New Lauren,Oklahoma,84506,+1-783-120-3541x273,robertholmes@yahoo.com,Salaried,Hudson Group Corp.,11.9,18214.0,032139936,Melissa Davidson,Spouse,161.698.5920x99916
USLW-APP-20241225-715,2024-12-25,Small Business,440911.0,Equipment Purchase,53.0,653-76-4217,Nicole Russo,1966-06-28,Female,Married,High School Diploma,72891 Catherine Greens,South Michellehaven,Nebraska,93221,+1-659-038-0294,ataylor@hotmail.com,,,0.0,0.0,119049224,Joshua Kirk,Sibling,+1-331-479-8447
USLW-APP-20240920-411,2024-09-20,Personal,35180.0,Education,17.0,807-52-5863,Alan Velazquez,1980-05-15,Other,Married,Doctorate,603 Johnson Pass,Maryside,Mississippi,85121,(861)467-2108,stevensnicholas@gmail.com,Salaried,"Jones, Cohen and Singh Corp.",22.3,8478.0,045265350,Mary Wright,Parent,5622145712
USLW-APP-20241223-230,2024-12-23,Personal,22173.0,Debt Consolidation,22.0,,Micheal Torres,1954-03-23,Other,Separated,Master's Degree,3122 Vaughn Prairie,North Nicolemouth,Wisconsin,94337,001-095-885-3920x915,tleach@yahoo.com,Self-Employed,"Daniels, Brown and Anderson LLC",9.3,8040.0,046641504,Jennifer Stanley,Friend,759-935-5482
USLW-APP-20240815-642,2024-08-15,Small Business,75168.0,Expansion,,596-90-6240,Robert Mcmahon,,Female,Single,Bachelor's Degree,614 Brown Meadow,Jonathanton,Alaska,10078,7550293319,dthompson@knight.biz,Salaried,Hernandez PLC Corp.,9.8,23727.0,040710732,Amy Curtis,Sibling,001-117-526-1649x9585
USLW-APP-20250202-135,2025-02-02,Mortgage,598584.0,Home Purchase,186.0,624-30-7965,,2006-07-10,Other,Married,Master's Degree,5903 Collins Extension,East Heatherfurt,Illinois,38038,+1-892-030-3436x8302,alexismurillo@hotmail.com,Retired,,0.0,0.0,104623817,Matthew Johns,Parent,001-522-585-5206x4970
USLW-APP-20240409-296,2024-04-09,Small Business,128161.0,Expansion,62.0,148-83-5283,Felicia Doyle,1993-06-09,Male,Married,Bachelor's Degree,85781 Melanie Views Suite 005,Perezmouth,Wisconsin,69494,625.735.6567x8947,donna72@nolan.com,Salaried,Sanchez-Smith Corp.,29.9,28628.0,125645489,Briana Johnson,Friend,7233265545
USLW-APP-20241211-236,2024-12-11,Small Business,396578.0,Expansion,73.0,124-98-7721,Jeffery Hall,1978-12-21,Male,Married,Doctorate,961 Stewart Lane,,Florida,47012,1572061671x124,shall@gmail.com,Retired,,0.0,0.0,049496727,Carol Bailey,Spouse,+1-457-247-9301x98124
USLW-APP-20240827-256,2024-08-27,Personal,2012.0,Debt Consolidation,42.0,278-86-9178,Beverly Farrell,,Male,Separated,Doctorate,375 Dana Islands,Greenhaven,Iowa,37843,(354)853-3714,zmeyer@miranda-davis.com,Salaried,Hayes-Yang Corp.,3.8,17873.0,085634831,,Sibling,8319148911
USLW-APP-20241014-854,2024-10-14,Personal,36372.0,,58.0,642-92-2342,Patricia Maldonado,,Female,Widowed,Doctorate,2869 Stacey Flats Suite 954,Grantborough,Kansas,91354,+1-251-897-2933x208,cynthiahayes@yahoo.com,Salaried,Austin-King Corp.,21.1,11441.0,125052195,Charles Silva,Spouse,8252090274
,2024-06-15,Personal,43982.0,Debt Consolidation,13.0,735-93-5405,Timothy Calderon,1983-10-29,Female,Widowed,Some College,857 James Gardens,Jenniferbury,Oklahoma,,888.746.4175,jesse55@forbes-turner.info,Salaried,Miller Ltd Corp.,9.2,21866.0,129554673,Erica Rangel,Sibling,+1-246-839-4830x9758
USLW-APP-20240811-150,2024-08-11,,268300.0,Equipment Purchase,75.0,212-62-4397,,2003-07-31,Other,,,,West Rebeccamouth,,60755,001-221-961-1498x941,cannonjames@morton-ortiz.info,Self-Employed,"Rowland, Wade and Weaver LLC",15.6,19514.0,069538610,Christine Wise,Parent,001-574-266-3695x2913
USLW-APP-20240616-567,2024-06-16,Small Business,416022.0,Equipment Purchase,50.0,525-29-7225,Sheryl Shields,1990-08-15,Other,Separated,High School Diploma,663 Taylor Plain Apt. 455,New Douglasburgh,Ohio,78932,001-636-734-6834,davidfoley@hernandez-mckee.biz,Self-Employed,Park-Smith LLC,3.0,12070.0,081909667,Sarah Stewart,Parent,391.430.5550
,2024-04-09,Mortgage,303486.0,Refinance,237.0,749-09-7356,James Reed,1998-02-19,Other,Married,Bachelor's Degree,65896 Green Run,New Markberg,Virginia,51485,001-951-651-0027x95156,xoconnor@yahoo.com,,Craig-Contreras Corp.,,27970.0,046979166,Austin Lynch,Parent,+1-832-545-2826x78182
USLW-APP-20240426-579,2024-04-26,Personal,5788.0,Debt Consolidation,51.0,855-53-4920,Maurice Green,1975-12-30,Other,Single,Bachelor's Degree,305 Anthony Islands Apt. 386,South William,South Dakota,75626,910.104.3852x8687,margaretlee@hull.com,Unemployed,,0.0,0.0,014206243,Jacob Rodriguez,Sibling,676-773-5693
USLW-APP-20240425-958,2024-04-25,Personal,13767.0,Vacation,38.0,799-97-5148,Amanda Reed,,Other,Widowed,Some College,53017 William Square,Leonbury,Arkansas,22922,+1-100-642-2461x29082,patricia11@cohen.info,Self-Employed,"Case, Wright and Mendez LLC",8.5,5787.0,018661224,Anthony Kent,Friend,301.140.3799
USLW-APP-20241118-196,2024-11-18,Auto,72415.0,Refinance,31.0,795-03-9742,Alexis Cervantes,1954-02-14,Male,,High School Diploma,06899 Cobb Hollow Suite 550,New Charlesport,Virginia,32893,,aaron47@smith.com,Unemployed,,0.0,0.0,039550220,Crystal Underwood,Friend,0031303694
USLW-APP-20250320-487,2025-03-20,Personal,29385.0,Home Improvement,50.0,546-96-1601,Daniel Hayes,1999-04-20,Other,Divorced,Doctorate,9927 Villanueva Extensions Apt. 817,Port Erin,Oregon,62249,324-935-6097,avilawendy@yahoo.com,Self-Employed,Smith and Sons LLC,12.9,16769.0,069237830,Taylor Green,Parent,(298)579-7377x07291
USLW-APP-20240809-173,2024-08-09,Personal,12178.0,Debt Consolidation,26.0,612-57-9864,Christopher King,1974-02-24,Male,Widowed,Some College,907 Frost View,West Shirley,Oregon,02551,819-053-2862,scox@hotmail.com,Salaried,Macdonald Ltd Corp.,6.2,24907.0,106668155,Michele Vincent,Spouse,318-586-9406
USLW-APP-20240603-926,2024-06-03,Auto,61140.0,Refinance,61.0,662-32-0552,Jesus Hartman,1991-06-19,Male,Single,High School Diploma,967 Duncan Crescent Suite 521,Nicholastown,Mississippi,32179,+1-568-767-3475x96252,claudiacoffey@hotmail.com,Self-Employed,"Anderson, King and Smith LLC",,14060.0,076849059,Kimberly Carrillo,Parent,497.887.8368
USLW-APP-20241016-234,2024-10-16,Mortgage,101494.0,Home Purchase,316.0,619-44-8133,Robin Powers,1970-08-23,Female,Divorced,Associate's Degree,70655 Jeff Walks,South Jennifer,Arkansas,24324,983-758-7909x12508,batesjustin@bennett.org,Salaried,"Castaneda, Eaton and Weeks Corp.",7.1,21722.0,096307830,Michael Kirk,Parent,8414849253
