Applicant SSN,Credit Score,Number of Credit Accounts,Number of Derogatory Marks
156-64-4378,850,0,0
506-53-0451,734,13,0
130-83-6141,632,11,2
520-94-1038,493,3,1
395-90-6488,568,5,1
670-49-1846,847,9,1
778-08-9173,487,15,3
542-80-6499,830,3,0
290-98-8806,545,1,0
161-14-1737,512,1,0
136-99-7724,356,14,3
579-37-4733,544,13,4
863-61-8623,850,4,1
682-94-9093,746,5,1
784-59-9714,473,5,1
657-23-2698,743,4,1
069-40-5561,644,10,0
863-79-4336,586,4,1
517-78-4952,850,15,2
623-31-9929,675,2,0
711-46-9395,649,9,0
172-98-8254,722,8,0
870-53-9911,758,14,2
674-17-2956,668,14,2
101-46-2897,651,15,5
368-09-5279,728,9,1
562-73-1037,850,8,0
874-65-6449,690,5,0
636-38-0947,756,0,0
507-06-5040,805,9,3
166-51-5609,793,3,0
326-04-6029,850,8,0
212-17-3427,476,3,1
419-21-3871,850,12,4
652-44-1353,813,4,0
269-61-2292,850,14,0
254-43-0340,503,15,4
114-68-0666,850,4,1
807-55-0817,649,15,4
370-73-8295,697,12,0
344-57-6037,620,9,2
737-41-6996,555,10,3
181-29-1100,845,9,0
784-93-2654,521,12,2
013-75-8434,634,5,0
172-91-5945,560,13,1
345-83-4656,534,0,0
884-83-7868,794,4,0
685-08-0234,809,7,1
119-68-4394,573,0,0
055-35-8446,391,4,1
571-28-2624,496,8,2
764-93-9088,719,10,1
060-37-0126,586,10,2
806-02-6709,850,8,2
616-32-9391,824,12,2
689-84-9327,636,2,0
476-53-3943,507,11,2
823-93-4496,577,9,2
814-67-1547,703,7,1
861-79-5982,377,11,3
880-40-1458,476,2,0
889-78-3683,531,5,1
239-64-9659,608,12,1
780-10-8077,416,7,2
483-45-5301,721,6,0
462-86-8990,714,4,0
665-27-7719,850,2,0
059-09-9962,746,12,1
730-35-5254,559,9,0
684-19-9906,444,11,2
610-41-9622,833,1,0
458-99-7589,701,0,0
624-52-8008,827,3,0
150-10-4244,682,3,0
880-34-2722,758,3,0
291-66-6806,801,1,0
412-15-2696,691,7,0
749-92-0862,751,2,0
130-14-2649,541,2,0
253-72-8906,697,15,3
803-76-7312,520,0,0
199-54-4805,479,0,0
575-48-1779,631,12,4
709-43-5911,850,0,0
658-31-4653,602,14,2
094-94-5833,561,10,2
401-22-0614,564,10,0
709-46-8959,835,14,1
302-06-2442,438,2,0
569-97-6868,490,7,1
245-71-5575,712,8,0
459-17-9794,790,11,2
875-56-8945,594,9,0
063-18-4947,651,9,1
594-76-0256,764,14,0
588-17-1386,743,12,2
306-13-3857,728,3,0
183-23-7749,757,14,2
162-17-4013,631,6,0
343-19-3733,300,4,1
194-71-8578,801,13,3
388-58-7837,711,13,4
772-48-8215,629,8,1
476-43-7488,647,5,0
502-59-2345,815,9,1
332-04-0745,670,4,1
787-30-3204,364,13,1
049-12-8811,524,3,0
552-78-2278,606,0,0
488-79-2865,605,13,4
743-43-7937,769,11,1
764-15-9650,669,8,0
828-34-3867,599,2,0
754-99-5165,637,4,1
865-25-4171,483,3,0
325-14-3299,850,11,1
872-62-3685,772,7,0
752-95-1465,676,8,0
,586,3,0
171-04-2588,730,4,1
486-10-9639,595,11,3
886-43-2123,718,6,1
260-66-3986,787,11,0
567-78-0811,535,8,1
187-24-2902,791,9,3
511-91-7004,356,8,1
452-58-8520,300,6,1
464-20-5404,774,1,0
368-15-3780,395,6,2
292-98-8980,424,6,0
579-44-7620,784,14,3
548-93-1460,441,4,0
599-17-4122,575,9,3
157-92-1089,850,2,0
605-09-4018,681,2,0
829-77-2105,792,9,2
760-91-4548,558,14,3
,837,6,2
589-91-7174,758,5,0
066-48-7247,850,12,3
447-77-2391,567,12,3
339-03-3765,563,11,0
257-44-0414,516,9,1
443-09-1434,727,0,0
755-39-8112,850,12,4
134-35-7485,647,2,0
370-11-2278,590,2,0
649-13-9154,526,7,2
106-82-1138,669,2,0
411-17-2644,741,11,2
829-14-0986,850,3,0
707-25-7848,602,3,0
790-78-9050,453,11,0
153-60-2458,381,10,1
892-09-2186,455,4,1
128-53-4778,821,10,2
842-39-7656,655,6,2
498-75-6527,804,6,0
559-99-6906,480,12,4
551-74-6564,541,2,0
,672,10,3
053-74-2473,689,6,1
363-82-3199,586,7,0
329-35-4867,599,8,1
895-59-0764,688,7,1
216-81-1412,683,7,2
002-15-7263,656,0,0
632-16-1445,543,1,0
655-24-5856,850,7,1
131-63-2536,444,0,0
199-15-8798,680,12,3
432-35-3188,672,12,4
256-33-3921,519,5,0
290-76-0668,625,2,0
470-04-6638,850,4,0
321-09-3354,840,13,1
473-92-5648,739,14,3
064-57-4385,582,3,1
896-99-8363,640,1,0
559-69-3908,850,14,3
142-51-0982,702,5,0
769-29-6405,388,7,2
010-96-3180,850,0,0
619-19-8867,542,2,0
520-28-7760,687,15,3
382-02-8917,539,14,3
234-31-5309,698,2,0
879-47-4938,519,4,1
373-32-7099,444,13,1
475-38-0820,684,13,4
438-52-6041,573,1,0
,620,2,0
794-64-5403,735,10,1
267-25-7012,766,4,0
431-61-7531,735,13,2
704-51-1715,587,7,1
570-13-2099,542,4,0
350-93-1187,677,10,0
500-85-8715,850,11,0
713-87-0932,687,1,0
800-33-8204,464,0,0
336-01-5341,534,11,1
238-89-2204,816,3,1
125-47-4360,850,9,2
879-36-0784,540,5,1
863-14-2378,726,6,1
364-59-1058,850,14,4
855-98-3152,777,7,0
298-79-4306,643,0,0
845-79-1378,850,11,0
358-30-8096,455,11,1
051-38-8523,850,6,0
325-93-3555,636,14,0
287-76-6089,562,9,3
349-12-9565,850,12,3
706-48-9824,850,15,0
567-99-5353,605,2,0
108-02-9169,621,1,0
825-14-6273,721,7,1
126-67-4257,667,9,0
,850,12,1
632-01-5917,725,15,4
229-92-8596,356,12,0
641-17-6124,761,2,0
325-97-6056,702,5,0
200-80-7536,593,9,0
,406,10,0
756-68-7298,567,3,1
056-46-2576,615,5,0
766-61-8797,710,6,0
487-49-0721,702,13,1
469-91-6112,790,9,3
455-99-0703,366,0,0
432-43-9000,565,2,0
037-85-8107,692,4,0
698-57-7198,652,3,0
491-18-8772,767,3,1
089-77-0916,677,9,0
545-16-6371,739,1,0
,584,2,0
821-80-3873,811,11,3
084-79-4872,809,13,3
593-54-1949,626,9,0
593-01-2211,369,8,1
700-23-5876,537,13,0
474-29-4373,584,12,4
749-31-5775,847,7,1
219-27-6099,676,0,0
212-48-8427,712,11,0
669-20-1490,485,13,0
555-84-3177,743,3,0
170-22-5871,423,13,0
,765,12,3
472-28-6181,629,13,0
446-73-9008,562,0,0
571-21-9377,513,11,0
148-59-9094,846,4,0
856-57-5868,802,0,0
870-18-7946,850,3,1
841-45-0392,806,15,2
750-29-3329,790,8,2
377-39-7554,850,0,0
122-97-3817,663,12,0
155-72-4943,850,14,0
737-94-0226,681,2,0
141-87-3997,637,9,0
894-51-7672,788,3,0
052-35-9776,650,4,1
599-75-6286,707,15,3
,663,13,4
085-55-9032,466,10,3
093-54-7047,821,3,0
315-11-2527,609,11,2
242-01-5550,850,12,4
152-32-1809,517,1,0
704-70-4464,783,3,1
060-22-4060,850,0,0
157-96-4396,668,1,0
275-50-6860,768,11,1
655-91-9603,850,5,0
800-60-6067,788,0,0
473-50-5970,659,2,0
315-67-4177,782,8,1
027-94-9688,497,5,0
647-53-4236,822,11,2
818-21-7356,649,13,2
503-10-2220,661,3,0
474-10-0885,630,9,3
649-90-8047,537,6,0
777-49-9569,850,1,0
210-40-3400,725,13,3
536-37-7632,747,11,2
515-12-5432,766,9,0
309-88-1473,455,6,0
239-08-7106,682,9,2
012-37-7567,850,2,0
133-42-0183,850,12,3
093-08-9214,850,8,0
377-71-9282,715,1,0
020-06-6623,550,6,2
715-16-1059,850,15,1
017-34-7219,833,6,2
445-88-6264,589,15,0
118-67-6384,839,14,3
581-43-5081,518,3,0
230-54-9252,722,6,0
174-21-9126,701,9,2
537-62-3175,635,4,0
719-18-8531,739,10,3
574-08-8615,591,10,1
502-36-8027,588,4,1
101-15-8488,464,5,1
463-12-3170,544,5,1
227-40-6557,489,11,0
744-75-0308,666,12,0
766-04-5009,321,4,0
835-66-9342,628,12,2
017-46-5237,667,15,0
350-23-8379,656,4,1
836-98-1666,726,4,0
096-77-4453,545,7,1
889-87-3901,590,9,0
184-63-4648,528,12,1
180-32-0502,374,14,1
652-81-9258,658,3,1
205-31-7149,657,12,0
211-56-5374,675,6,0
675-68-1385,445,14,2
,639,3,1
224-28-3713,710,9,2
386-67-7903,664,10,0
567-25-9156,606,14,1
197-87-6964,516,5,1
543-75-6148,647,8,2
627-12-1390,771,0,0
721-20-4165,746,3,1
770-83-2571,817,3,0
300-05-9845,775,5,0
388-24-5519,762,7,0
293-12-0127,665,1,0
572-36-3082,437,15,5
891-54-0742,850,11,1
745-01-0069,634,7,1
497-61-4211,740,3,1
454-59-5736,656,9,1
757-65-0098,550,9,2
,850,2,0
407-63-1858,695,13,2
562-46-1418,850,13,3
640-95-5366,654,14,2
298-28-0312,572,14,4
620-37-1343,506,7,0
685-58-4746,302,15,5
541-65-1055,560,15,1
597-24-2809,738,4,0
550-72-7759,722,3,1
879-64-4738,722,10,0
167-34-8915,535,6,2
234-72-7792,728,10,2
126-82-9158,789,10,3
016-50-9160,499,0,0
639-83-5696,588,10,0
,712,9,3
368-55-5122,566,1,0
705-80-2146,850,0,0
140-77-3929,596,7,0
373-99-6403,850,4,1
153-27-2590,593,12,0
150-22-4349,578,8,2
367-97-6927,773,10,1
219-30-7156,529,1,0
790-08-6984,850,7,2
482-36-1752,417,9,2
847-78-9885,745,0,0
065-07-6379,651,5,0
632-10-6928,486,6,1
068-26-1176,850,14,1
419-15-3125,658,15,4
,694,12,0
468-89-4396,662,2,0
222-98-7444,547,7,0
299-17-9769,769,4,1
639-01-9081,850,4,0
166-61-7709,752,7,0
023-43-7743,657,2,0
754-34-6314,656,6,0
486-55-5841,506,2,0
,549,14,3
768-52-9344,757,6,1
024-22-9314,742,10,0
703-08-7831,803,2,0
448-37-0009,850,9,1
879-91-0753,540,2,0
509-68-4660,736,0,0
129-77-4275,798,12,2
337-49-9284,605,15,5
,687,8,0
428-17-8520,850,10,1
560-45-0811,546,6,0
152-80-0531,443,12,3
209-91-0125,363,13,1
716-44-7452,536,2,0
392-35-6424,815,3,1
790-43-0184,692,13,0
662-08-2558,489,5,0
630-30-0139,850,8,0
,544,13,0
499-80-0288,802,7,2
779-69-7781,623,15,0
511-01-4371,850,11,0
017-20-4249,850,10,2
,494,5,1
302-63-3205,708,15,5
492-04-9540,712,15,1
816-65-5883,306,14,2
103-37-8802,547,15,3
446-12-1742,686,1,0
889-63-9379,850,7,2
228-21-2072,724,12,3
874-46-7547,808,12,4
665-03-9031,850,14,1
654-07-3998,317,3,1
003-08-2563,585,11,0
362-40-7188,601,14,0
798-13-0679,684,5,1
809-30-8514,748,14,0
261-37-3616,523,8,2
474-15-2263,527,11,0
710-40-9414,588,0,0
180-66-7056,598,15,4
449-19-9311,649,14,0
749-92-7347,689,15,1
373-60-4818,735,5,0
815-79-2438,552,4,0
549-17-2792,832,5,1
897-54-5455,783,13,1
874-18-1567,594,13,4
648-86-1998,850,7,0
710-52-2559,632,9,3
407-45-7804,850,1,0
586-92-6515,850,15,5
852-48-6588,838,5,1
625-51-5908,602,3,1
291-40-1414,728,5,1
341-43-5825,827,9,2
661-81-5327,819,14,0
149-37-5312,647,12,3
830-08-1345,568,10,1
009-67-6392,775,3,0
431-16-4348,592,2,0
051-92-4586,484,6,0
298-57-0793,670,7,0
346-80-7493,705,9,1
486-79-1170,537,11,2
005-81-1063,548,5,1
399-47-0083,658,14,3
438-23-7142,517,2,0
377-57-7082,300,5,0
776-28-6469,602,13,0
172-77-3717,745,7,0
517-89-2713,656,2,0
474-64-4061,640,4,1
045-81-3329,718,7,0
250-52-3408,560,2,0
874-16-2840,795,8,2
889-72-4152,500,13,2
432-67-2871,704,3,0
512-40-8567,611,1,0
696-74-6944,420,13,1
003-05-5338,789,12,4
885-36-9304,608,1,0
268-16-5731,521,7,1
688-48-9139,606,10,0
848-15-8303,838,12,2
886-08-5649,734,14,2
296-41-3796,670,4,0
135-37-1770,345,15,2
421-36-0836,740,1,0
596-16-0412,848,9,2
032-70-7373,830,5,1
086-94-5513,603,5,1
367-90-5173,650,14,3
505-81-7785,561,13,1
397-76-7038,489,0,0
030-27-1265,785,0,0
528-46-4476,446,1,0
049-51-9361,616,7,2
372-47-5193,795,6,1
842-16-8536,697,5,0
220-11-2099,690,4,1
340-86-1078,418,1,0
107-32-9307,850,15,0
707-44-4350,760,5,1
626-12-4622,504,7,0
643-70-3681,624,5,0
064-72-1848,803,7,2
098-56-5659,776,1,0
894-16-1387,417,11,2
562-89-7501,772,5,0
574-24-9541,397,2,0
636-76-8413,617,1,0
069-23-7975,707,13,4
796-83-4160,625,10,2
453-68-3514,720,11,2
107-21-4713,793,6,0
851-92-3905,607,4,1
699-62-5748,707,11,1
693-34-1991,689,4,1
293-53-4430,799,0,0
852-43-5505,665,4,1
554-44-1433,675,9,1
553-64-4306,587,8,1
853-46-1553,819,13,0
027-94-5125,660,8,2
766-24-6704,502,6,2
637-50-8505,695,2,0
510-42-0944,666,9,1
047-51-1031,666,11,1
,597,4,0
052-47-2616,527,14,2
768-47-9477,628,1,0
102-72-7303,760,3,1
216-87-6501,459,0,0
480-43-4489,697,5,1
816-26-3947,841,15,5
472-67-9376,380,13,2
437-51-5421,585,11,2
244-73-9337,850,15,5
260-82-5330,643,1,0
880-27-8417,612,13,0
003-39-6286,733,7,1
616-19-7890,644,6,1
683-90-4223,839,10,1
816-79-6494,746,4,0
393-79-1613,598,2,0
790-53-3333,826,10,0
315-77-6816,408,2,0
807-72-5845,850,10,0
496-37-5608,641,0,0
233-66-7075,728,12,1
612-20-6964,720,15,0
106-22-3591,692,13,0
270-90-3790,821,0,0
090-93-2445,410,0,0
724-42-4077,811,0,0
704-58-3505,850,10,0
542-69-0484,692,13,4
114-24-5073,406,4,0
883-81-4914,819,13,3
450-26-1108,565,10,1
801-60-9382,504,4,1
596-02-6952,560,11,3
361-87-2454,665,1,0
196-50-0677,850,11,2
267-25-6556,525,7,0
218-79-3471,413,11,0
702-37-7684,335,14,0
252-50-6063,850,1,0
673-61-6302,746,5,0
573-39-0210,850,5,1
412-96-4688,814,13,1
635-29-9820,850,3,1
846-32-4005,473,6,0
866-86-9804,661,15,4
871-45-1290,703,12,1
273-68-4882,601,1,0
429-96-2628,653,2,0
645-25-8468,700,4,0
706-01-2447,850,10,3
006-83-0610,850,11,0
244-15-2051,588,15,3
169-55-4772,521,6,1
686-88-6832,850,4,0
,788,15,2
389-93-9950,735,1,0
379-08-0353,621,3,1
816-78-4183,554,10,3
619-48-7812,760,9,2
272-46-5434,740,10,2
838-58-4867,773,2,0
,616,6,0
418-28-0045,850,1,0
358-97-9433,635,15,4
722-56-0157,827,0,0
298-77-0584,826,12,4
780-81-0791,627,1,0
450-91-0152,799,11,0
496-03-5548,816,15,1
018-92-7909,557,5,0
634-74-7309,450,12,3
615-64-4043,643,14,0
246-07-6279,850,9,1
688-39-5776,652,10,2
610-49-6103,703,12,4
382-74-0427,563,2,0
449-01-1456,771,10,0
563-46-9864,850,7,0
504-93-3860,598,15,0
352-69-9703,728,3,1
267-52-5365,850,5,1
302-81-7226,850,2,0
402-81-9290,658,9,3
257-99-6879,577,12,0
855-63-0329,595,0,0
638-77-7600,693,6,2
716-40-5589,487,6,0
260-22-8029,702,6,1
178-11-9538,727,1,0
474-31-6075,607,9,3
169-19-3344,690,11,3
773-47-0463,621,13,2
082-70-0282,766,14,3
799-79-4141,697,10,3
,760,12,2
103-44-3746,850,15,4
,769,7,1
823-85-8697,594,10,3
495-49-3896,482,6,1
466-12-1931,850,4,1
090-11-7060,300,1,0
498-84-2324,611,14,1
842-75-5740,725,5,1
878-18-8657,488,12,3
442-19-7316,701,6,0
121-85-5526,549,13,4
625-74-9295,502,10,2
085-42-7511,680,8,2
842-09-9803,417,3,1
565-90-6620,814,14,3
648-02-5471,850,4,0
280-97-8233,607,1,0
414-32-1451,677,10,1
499-12-1118,602,3,0
441-35-6563,399,11,3
386-20-2745,812,1,0
449-54-4147,439,1,0
415-88-7469,850,5,0
610-64-0789,611,9,2
,669,12,0
116-44-1620,728,1,0
412-64-6113,689,7,0
358-36-2057,558,4,0
183-11-4458,693,6,0
340-27-4456,361,14,4
608-14-4748,657,0,0
011-10-5755,743,10,1
005-66-0201,611,12,2
161-44-7759,656,0,0
589-86-8541,681,13,3
134-84-2538,850,4,1
126-79-6422,801,6,0
806-30-3487,678,11,2
148-53-7843,850,1,0
676-19-1757,850,15,4
876-79-3092,850,7,0
560-96-3081,650,14,2
558-06-2563,838,15,1
,814,6,1
640-72-7933,465,14,0
248-17-9650,660,8,0
214-95-5363,572,13,3
360-29-6740,656,14,2
,321,8,2
774-29-8686,813,5,0
566-29-0397,850,11,3
123-85-0852,425,9,1
553-96-5951,488,7,2
172-69-4364,850,8,0
623-52-6965,757,10,1
555-18-6723,460,6,0
070-11-1045,850,5,1
005-95-6383,613,3,0
709-71-3294,511,11,2
236-64-6008,850,14,3
716-41-7111,459,2,0
663-58-4059,826,9,2
437-98-6735,562,5,1
,300,15,2
508-86-4944,594,0,0
,532,11,3
199-56-8923,774,4,0
723-95-4630,716,4,1
236-03-9687,624,0,0
239-70-5599,754,8,1
080-07-6996,626,0,0
578-21-4558,620,12,0
482-50-2983,664,14,1
818-91-4299,686,10,3
687-15-7968,712,5,0
792-79-7116,457,2,0
563-19-1073,796,12,0
237-97-3537,499,9,0
613-77-5094,494,7,0
455-87-2073,680,15,3
894-43-9518,717,7,2
440-45-0898,750,2,0
684-93-5723,504,15,5
070-97-9246,747,7,1
848-63-9642,665,11,0
303-12-4666,673,9,3
567-68-0059,682,4,1
561-29-0548,676,7,2
844-28-2123,383,11,3
851-77-5203,407,8,2
831-99-7689,850,11,1
670-27-8818,715,4,1
288-50-7136,592,0,0
417-40-3110,844,1,0
075-77-6198,701,12,3
460-15-5053,850,3,1
681-99-6589,438,14,0
254-17-7609,630,9,2
849-71-0442,511,5,0
269-11-9945,739,8,1
398-90-4324,365,14,1
053-79-4287,594,11,1
222-01-5839,580,7,2
882-11-8904,520,1,0
889-68-2300,680,9,3
470-76-1645,685,14,4
609-06-0402,522,12,3
495-54-1833,688,5,0
190-67-5528,590,8,0
698-17-5959,850,15,0
506-57-2831,506,10,2
474-35-1368,808,10,2
823-12-5888,850,0,0
499-33-5453,560,7,0
029-69-8634,753,5,1
562-58-1542,614,4,1
417-95-5069,517,10,3
430-21-2908,561,2,0
667-03-2932,696,11,3
320-83-4727,850,3,0
008-79-6806,523,3,0
111-71-7334,700,6,2
497-29-0976,516,14,1
434-94-0516,850,3,0
720-62-1025,814,10,3
695-42-4762,849,5,0
137-90-1988,850,10,0
547-92-3241,841,14,1
470-67-7699,701,11,3
062-87-1142,638,14,2
350-03-0186,850,15,2
266-37-4461,810,1,0
450-54-1216,763,12,2
032-93-6995,850,0,0
098-94-4905,504,7,2
205-60-3996,520,12,1
776-04-8690,580,2,0
877-06-1788,705,15,2
519-67-6801,775,5,0
291-46-2567,850,4,0
025-98-4239,514,0,0
589-25-4382,623,11,3
816-97-1222,850,9,0
653-73-4710,650,4,0
487-54-7938,594,5,1
706-09-6117,829,4,1
416-37-2898,514,6,0
228-71-0038,542,13,0
438-77-7970,850,4,0
435-52-6728,644,10,0
204-81-0265,850,4,0
023-49-7332,850,10,2
454-10-3856,788,6,0
892-31-0341,432,12,4
,606,10,3
851-70-1131,554,3,0
546-75-2229,664,11,1
571-19-6371,498,6,1
681-22-3864,491,15,2
733-36-4522,850,3,0
661-56-5495,662,5,0
798-07-5504,732,1,0
555-74-9314,669,10,2
302-91-1709,509,1,0
172-80-7455,659,7,1
490-08-5986,766,9,2
268-28-5620,463,13,4
521-71-2561,441,13,1
126-06-2900,644,6,0
710-42-3875,393,5,0
588-75-3559,850,1,0
131-20-9272,769,13,2
589-19-8464,400,1,0
097-77-6003,646,5,0
160-44-4127,811,13,1
447-54-1435,850,4,1
769-86-0170,526,15,2
480-99-9399,535,10,0
583-41-3086,651,5,0
,682,9,3
312-22-5012,678,12,2
559-01-6271,609,4,1
599-43-5688,844,2,0
240-22-5921,850,15,3
484-28-3593,662,7,0
888-58-2096,556,12,2
675-22-6785,656,11,0
143-23-8225,697,15,1
473-04-0337,667,14,3
,801,1,0
743-71-8006,318,8,0
320-44-1822,532,8,0
,739,0,0
714-42-0702,487,13,4
305-98-2994,534,3,1
771-67-0644,730,6,0
770-44-8380,538,9,1
044-54-0344,677,7,0
124-94-8943,719,5,0
037-90-4045,850,3,0
507-08-2673,850,15,1
061-79-8796,538,6,0
615-96-8321,850,5,1
612-69-6265,796,7,2
,495,0,0
345-33-1952,608,3,0
485-81-8598,449,4,0
259-82-7978,539,12,2
650-74-3403,617,11,3
037-03-5795,700,2,0
072-70-1116,850,7,1
651-58-5499,781,1,0
773-42-8688,560,4,1
537-20-2947,639,3,0
355-57-2989,655,14,3
433-17-9779,631,11,0
390-11-0928,625,3,1
723-35-1645,850,8,2
818-01-3462,322,15,2
844-44-5995,818,14,0
138-13-1707,850,14,0
699-92-5024,850,3,0
550-61-5359,486,8,0
124-35-8884,850,3,0
325-04-5013,824,4,0
896-87-4514,561,2,0
288-37-8249,471,6,1
613-88-2825,776,4,1
326-21-5980,643,7,0
344-93-7404,744,1,0
135-86-9453,559,5,1
139-74-0939,566,15,0
520-34-0973,791,5,0
380-11-5025,339,15,1
103-60-2872,823,2,0
,798,5,0
178-38-4376,850,1,0
257-01-6700,661,0,0
527-26-9952,776,13,2
464-79-4658,564,15,0
297-25-3685,834,15,5
343-50-3705,687,8,2
266-36-7003,691,11,0
,684,13,3
779-49-5432,634,14,3
620-80-9698,484,4,0
496-75-0786,708,7,0
,696,5,1
622-64-2973,759,6,1
716-72-0030,554,9,2
646-41-8003,802,13,1
,623,7,2
570-46-7200,850,2,0
825-26-5838,663,9,1
,799,9,0
153-77-3294,724,2,0
859-90-2096,542,11,2
,688,9,0
,687,3,1
170-50-7131,758,2,0
012-90-6848,681,5,0
288-85-8157,850,15,0
522-35-2811,837,15,1
573-58-6047,541,10,2
607-55-8677,417,3,1
873-58-1667,643,3,1
158-03-6716,612,15,0
027-85-1893,551,0,0
784-81-6845,555,8,2
474-16-6368,540,4,1
631-80-0615,545,9,3
296-24-7024,744,9,3
609-40-3831,655,12,2
556-40-2695,670,7,2
676-70-0857,333,11,3
490-53-6147,793,10,3
667-88-6527,607,2,0
189-78-1546,768,8,0
040-19-0298,641,6,1
705-51-7975,839,12,4
376-36-2260,604,12,2
478-33-0542,667,4,1
479-70-7264,850,8,0
182-46-3675,850,1,0
651-16-3701,515,9,0
896-64-5300,733,9,3
141-55-2414,460,7,1
665-58-5302,746,12,0
031-53-1344,707,0,0
,578,8,0
053-66-4890,590,9,1
133-40-8765,850,3,1
497-94-6623,804,8,2
284-18-2814,649,15,4
253-16-2768,850,6,2
582-11-1026,662,13,3
129-70-2273,571,2,0
482-33-1505,529,0,0
585-29-9246,484,8,2
456-59-5272,300,2,0
412-10-2237,746,10,2
430-07-4855,570,14,4
703-59-2885,711,11,2
560-25-2290,609,13,1
717-97-3579,740,2,0
340-86-1860,528,4,1
208-37-7933,521,11,3
709-28-2239,850,14,2
546-15-9582,729,6,2
084-76-5732,850,9,1
886-87-1245,776,6,0
138-68-7031,599,8,1
206-49-4483,785,12,1
428-86-8603,433,14,1
876-95-0972,850,15,0
005-17-5961,850,2,0
574-80-1282,789,12,4
537-52-9828,752,13,4
285-37-4222,754,4,1
848-16-9898,556,2,0
229-43-2464,603,6,1
594-92-4929,651,15,1
,690,0,0
124-43-7836,816,13,2
050-98-8624,725,6,2
504-11-5525,582,2,0
687-89-8760,814,2,0
889-01-0601,850,13,1
698-30-5669,689,6,2
414-21-6311,817,9,1
705-31-2397,615,8,0
696-98-9051,773,1,0
547-80-9893,620,12,0
091-34-2705,805,6,0
579-94-2325,850,7,2
176-08-4290,598,5,1
314-53-3109,575,8,2
582-48-6714,705,13,4
741-37-2669,779,1,0
236-26-3770,751,9,0
,850,12,4
574-23-8391,650,4,1
126-13-7161,761,1,0
176-79-0372,850,4,0
083-77-1438,546,3,1
580-47-8268,850,13,1
116-27-0126,676,2,0
115-14-6147,685,14,0
396-04-5103,609,5,0
644-47-5145,789,10,0
332-48-2198,590,2,0
396-80-4500,647,9,1
250-87-2895,850,15,0
532-42-2325,672,14,2
440-25-8540,551,12,2
361-28-6405,706,7,0
325-84-7611,412,5,0
149-78-6095,789,3,1
513-13-9569,752,1,0
210-45-0375,844,8,2
513-79-0763,805,8,0
896-34-1154,557,8,1
744-53-1244,569,11,1
857-18-2014,640,10,1
222-16-8136,825,2,0
011-28-6722,491,13,3
627-63-8561,749,11,0
476-98-5722,850,7,0
230-23-1777,601,13,0
520-75-4667,376,8,1
525-24-0192,459,0,0
268-60-2620,573,15,4
379-72-9458,781,12,1
456-09-3623,850,13,4
425-37-1625,676,11,1
486-74-5573,498,7,0
664-47-8953,761,10,1
226-31-6396,667,4,1
133-86-1355,710,0,0
656-72-0059,564,6,0
866-58-7270,793,15,4
555-72-5594,752,10,2
411-23-1780,806,7,1
016-54-3357,708,0,0
674-23-0088,574,13,0
742-40-0048,547,1,0
149-26-0634,592,3,1
149-59-0895,660,1,0
758-83-4476,419,10,2
495-82-3772,745,15,1
332-76-7044,789,8,0
255-74-1969,742,8,1
507-82-1385,678,12,3
550-46-8946,848,4,1
,814,9,1
540-11-5848,657,2,0
445-07-6870,593,15,1
684-40-2800,755,8,1
267-50-2528,643,13,4
443-18-0132,784,4,1
729-28-0170,850,9,3
488-14-6113,667,9,1
,357,7,0
485-93-5033,665,15,4
710-58-7186,628,6,1
229-36-1567,810,0,0
332-38-7510,800,1,0
359-07-1469,695,15,1
893-20-1444,541,3,0
247-07-6870,615,11,3
220-24-4695,574,1,0
663-67-3050,415,9,1
592-78-9884,641,9,3
492-27-7177,494,15,5
238-47-9257,546,3,1
598-15-9219,550,12,0
710-71-8294,556,12,1
436-94-1579,850,11,0
035-93-7742,434,3,1
517-38-0697,850,12,3
116-59-5076,582,5,1
200-45-6972,382,15,5
295-94-9517,773,13,0
569-44-4608,644,14,0
192-89-6131,710,1,0
414-37-5915,799,5,1
045-27-8583,850,1,0
526-07-4840,850,3,0
693-19-0385,582,4,0
729-65-6725,560,13,0
,691,14,4
843-12-1167,781,12,3
461-77-9064,409,7,0
212-16-0294,531,11,0
056-74-9783,725,3,1
452-49-3973,796,13,3
126-54-8425,687,1,0
416-14-0155,850,3,1
723-11-3960,764,8,2
466-43-5724,850,2,0
311-12-4819,591,5,1
409-98-8079,407,0,0
574-58-4726,511,6,0
049-40-1507,614,10,3
,844,3,1
297-63-5119,738,7,0
376-96-0069,850,10,3
,684,15,5
730-63-6008,850,1,0
406-79-3948,629,7,0
883-29-3916,753,0,0
413-70-4644,695,1,0
598-37-6093,796,1,0
321-75-2436,435,9,3
712-68-8553,646,0,0
521-17-8788,737,15,5
181-28-2831,535,8,1
585-80-5846,653,13,4
604-91-1307,703,2,0
596-61-2403,680,5,1
880-17-0519,739,8,2
597-49-2142,790,4,1
372-74-2678,529,3,0
048-77-8399,736,5,1
,850,5,1
836-74-6060,775,9,3
537-24-0604,624,11,0
440-51-5469,692,4,0
301-29-7394,658,10,2
171-98-4587,759,14,0
496-27-5988,770,15,5
355-55-9127,726,1,0
239-97-7627,552,6,0
834-27-3695,760,15,3
458-71-7421,534,12,3
517-67-3819,440,14,3
790-08-1747,680,7,1
695-06-8382,824,11,3
408-79-7942,665,12,1
023-03-7489,791,4,1
265-54-4572,738,3,1
